,EIN,TAXPER,CYCLE,DLN,NTEEIRS,ARC,LRC,RESERVED,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,ACTIV,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,DISTRICT,ARED,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA
11795,133968595,200912,201041.0,29491268029140,A31,N,Y,0.0,1.0,2009,2.0,5.0,3.0,3,0.0,85000,76,0,0,0,0,0,0,85076,178661,-93585,178661,76,76,690925,0,0,0,0,0,690925,0,510,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,0,0,76,76,178661,0,178661,0,0,-2778,0,0,690925,0,690925,1,0,0,0,0,0,0,0,0,1,10360,0,76,76,477,827,1456,180939,175815,125692,133140,615586,1,0,0,0,1,0,0,0,0,0,340,861,1816,5162,8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133968595200912,1339685952009,rtf09pf,1,0,10022.0,SCORSESE FAMILY FOUNDATION,STARR & COMPANY,850 3RD AVE FL 15,NEW YORK,NY,10022-7263,0.0,3.0,2.0,199906.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,SCORSESE MARTIN TTEE,,0,N,,A31,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.72449,B,A31,A,36061.0,5602.0,5600.0
11808,133972275,200912,201044.0,29491282029180,A400,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,994.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,670,0,0,0,0,8437,670,0,31,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,0,0,0,0,0,0,0,0,670,0,-7767,0,0,0,0,0,0,0,0,0,0,628,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133972275200912,1339722752009,rtf09pf,0,0,10001.0,ART2FACTS,RAYMOND M PEPI,158 W 27TH ST FL 4,NEW YORK,NY,10001-6216,0.0,3.0,2.0,199812.0,1.0,4.0,994.0,119.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.7981,B,A40,A,36061.0,5602.0,5600.0
11814,133973817,200909,201038.0,29491247004240,A110,N,Y,0.0,1.0,2008,3.0,4.0,1.0,3,994.0,0,1586,2,0,0,0,0,0,1588,7731,-6143,4679,985,1588,140590,0,0,0,0,436107,1,0,7089,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,1588,1588,7731,603,4679,603,0,0,0,0,0,0,-295517,20,0,0,0,0,0,0,0,0,20,143938,7069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133973817200909,1339738172009,rtf09pf,20,0,10024.0,FRIENDS OF CHINA HERITAGE FUND LIMITED,DIANE T WOO,440 W END AVE,NEW YORK,NY,10024-5358,0.0,3.0,1.0,199807.0,1.0,4.0,994.0,119.0,0.0,1.0,1.0,0.0,1.0,9,,,0,N,,A118,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.9167,A,A1180,A,36061.0,5602.0,5600.0
11831,133976359,201006,201047.0,93491316006130,A20,N,Y,0.0,1.0,2009,3.0,3.0,1.0,3,90.0,0,0,0,0,0,1249,0,0,1249,2050,-801,0,0,0,71097,0,0,0,0,1,71097,0,3486,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1249,0,2050,2050,0,2050,0,4586,0,0,71097,0,71097,0,0,0,0,0,0,0,0,0,0,70777,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,133976359201006,1339763592010,rtf09pf,0,0,10123.0,DAVID MERRICK ARTS FOUNDATION INC,APFEL LEVY ZLOTNICK AND CO,450 SEVENTH AVE 1100,NEW YORK,NY,10123-1100,0.0,3.0,2.0,199804.0,1.0,4.0,90.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.26356999999999997,B,A1261,A,36061.0,5602.0,5600.0
11893,133981562,200911,201040.0,85491247001130,A51Z,N,Y,0.0,1.0,2008,2.0,2.0,1.0,3,60.0,0,1,38,0,0,0,0,0,39,2240,-2201,2240,0,39,22251,0,20627,0,20627,0,23500,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,39,39,2240,655,2240,0,0,1624,0,0,23500,0,22251,0,0,0,0,0,0,0,0,0,0,0,0,39,154,869,0,1062,2240,13337,59798,0,75375,23501,0,0,0,23501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133981562200911,1339815622009,rtf09pf,0,0,10022.0,MICA FOUNDATION,HOWARD MORSE MORSE ZELNICK ROSE &,405 PARK AVE STE 1401,NEW YORK,NY,10022-9427,0.0,3.0,1.0,199811.0,1.0,3.0,60.0,0.0,0.0,1.0,1.0,0.0,1.0,11,,,0,N,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9688399999999999,B,A51,A,36061.0,5602.0,5600.0
11956,133995881,200906,201013.0,29491065045040,A20,N,Y,0.0,1.0,2008,3.0,6.0,5.0,3,0.0,350000,0,76,0,0,0,93150,0,658637,719899,-61262,410927,76,76,2971331,0,0,0,0,15000,2971331,0,3064,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,308561,0,76,308637,719899,0,410927,0,308561,500,0,0,2971331,0,2956331,2,0,0,0,0,0,0,0,0,2,62207,3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,133995881200906,1339958812009,rtf09pf,2,0,10001.0,LUCILLE LORTEL THEATRE FOUNDATION INC,HECHT AND COMPANY PC,322 8TH AVE FL 21,NEW YORK,NY,10001-6763,0.0,3.0,1.0,199907.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,,0,N,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.4317,B,A65,A,36061.0,5602.0,5600.0
12065,134018495,200912,201051.0,29491338098070,T20Z,N,Y,0.0,1.0,2009,3.0,2.0,1.0,3,602.0,0,3,0,0,0,0,0,500,3,500,-497,500,3,3,12972,0,0,0,0,0,12972,0,640,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,3,3,0,0,0,0,0,12972,0,0,12972,0,12972,0,0,0,0,0,0,0,0,0,0,12992,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134018495200912,1340184952009,rtf09pf,0,0,10014.0,CD 101-9 SMOOTH JAZZ FOUNDATION,WQCD-FM RADIO,395 HUDSON ST FL 7,NEW YORK,NY,10014-7452,0.0,3.0,1.0,199811.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A6C,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.65363,A,A6C,A,36061.0,5602.0,5600.0
12117,134032127,200912,201014.0,29491079011040,A40,N,Y,0.0,1.0,2009,2.0,3.0,3.0,3,0.0,91801,0,0,0,0,0,0,0,91801,600,91201,0,0,0,91801,0,0,0,0,0,91801,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,600,0,0,0,0,91801,0,0,91801,0,91801,0,0,0,0,0,0,0,0,0,0,0,0,91801,59401,60301,34354,245857,0,0,0,0,0,91801,59401,60301,34354,245857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,1004,2009,134032127200912,1340321272009,rtf09pf,0,0,10016.0,BERT STERN FOUNDATION FOR THE VISUAL ARTS INC,BERT STERN,330 E 39TH ST APT 32G,NEW YORK,NY,10016-2135,0.0,3.0,2.0,200012.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.24141999999999997,A,A40,A,36061.0,5602.0,5600.0
12204,134047433,200912,201048.0,29491310048030,A51,N,Y,0.0,1.0,2009,2.0,9.0,8.0,3,0.0,6342688,0,113278,2659775,297228,2000400,445377,0,11413369,7168756,4244613,5711846,9754941,478529,213711911,0,14166000,0,14166000,26810181,213711911,0,1128981,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,0,985566,9768027,2410906,7168756,13086,5711846,13086,1932377,234059,0,0,213711911,18590346,186901730,195099,0,0,11207,0,195000,0,0,11108,195099,22923479,0,478529,1070774,2144037,2497320,6190660,5711846,7044580,13467432,144664044,170887902,0,0,0,0,0,0,0,0,0,0,752654,1864956,2257123,2024977,6899710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134047433200912,1340474332009,rtf09pf,-11108,0,10028.0,NEUE GALERIE NEW YORK,,1048 5TH AVE,NEW YORK,NY,10028-0111,0.0,3.0,1.0,199912.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,YI.,2,N,M,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9531700000000001,B,A51,A,36061.0,5602.0,5600.0
12237,134055562,200911,201036.0,29491219033170,A20,N,Y,0.0,1.0,2008,3.0,2.0,1.0,3,0.0,0,0,0,0,0,2007,0,0,2007,1332,675,1332,0,2007,10048,0,0,0,0,0,10048,0,468,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,2007,1332,0,1332,0,0,10048,0,0,10048,0,10048,0,0,0,0,0,0,0,0,0,0,9512,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134055562200911,1340555622009,rtf09pf,0,0,10003.0,FASSBINDER FOUNDATION INC,INGRID SCHEIB-ROTHBART,716 BROADWAY STE 6,NEW YORK,NY,10003-0000,0.0,3.0,1.0,200006.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11,,,0,N,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.72187,B,A20,A,36061.0,5602.0,5600.0
12245,134057282,200911,201024.0,29491142272210,T50,N,Y,0.0,1.0,2008,3.0,6.0,5.0,3,0.0,74321,2650,13257,-81747,0,-7953,0,94105,528,147715,-147187,121611,0,0,1331358,0,560194,0,560194,0,771164,0,64801,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,15950,0,53610,26476,27506,26476,0,41593,0,0,771164,0,1331358,0,0,0,0,0,0,0,0,0,0,1315763,64801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134057282200911,1340572822009,rtf09pf,0,0,10018.0,TRIO FOUNDATION,ANCHIN BLOCK & ANCHIN LLP,1375 BROADWAY,NEW YORK,NY,10018-7001,0.0,3.0,1.0,200008.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,11,,,0,N,,A6C,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.11671,A,A6C,A,36061.0,5602.0,5600.0
12264,134065722,200712,,29491103017018,A65,,,,,2007,,,,3,,0,0,0,0,0,0,0,0,0,550,-550,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,134065722200712,1340657222007,CORE08pf,0,0,10016.0,FANG THEATRE COMPANY LTD,,,NEW YORK,NY,10016-8804,0.0,3.0,1.0,199908.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,12,,,0,N,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.34397,A,A65,A,36061.0,5602.0,5600.0
12288,134069485,200712,,29491222002248,A110,,,,,2007,,,,3,,0,861,0,0,0,0,0,5000,861,18386,-17525,5000,861,0,78806,0,0,0,0,0,78805,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,861,861,13386,0,0,0,13386,2648,0,0,0,0,78806,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,134069485200712,1340694852007,CORE08pf,0,0,10022.0,AMERICAN FRIENDS OF MUSEE D ART MODERNE GRAND-DUC JEAN LUXEMBOURG,,,NEW YORK,NY,10022-8003,0.0,3.0,1.0,199911.0,1.0,4.0,0.0,0.0,0.0,1.0,13.0,201012.0,1.0,12,,,0,N,,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.7226199999999999,A,A1151,A,36061.0,5602.0,5600.0
12289,134069592,200912,201051.0,29491338014240,T30,N,Y,0.0,1.0,2009,3.0,9.0,9.0,3,0.0,13000000,82569,1590734,3616247,0,33572164,168110,12906666,51907967,20078532,31829435,17127433,12610994,0,280777312,12118637,3097319,483796,15699752,3261769,280777312,0,12357641,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,46253,0,12992624,0,7171866,381630,1953694,381630,0,0,0,132927609,280777312,0,277515543,126110,0,0,47600,0,54000,0,1924,0,126110,250916570,12231531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134069592200912,1340695922009,rtf09pf,26434,0,10028.0,KEREN KESHET-THE RAINBOW FOUNDATION,ROCHELLE KORMAN,1015 PARK AVE,NEW YORK,NY,10028-0904,0.0,3.0,1.0,199908.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.48225,B,A12,A,36061.0,5602.0,5600.0
12291,134069969,200906,201032.0,29491142228190,A20,N,Y,0.0,1.0,2008,2.0,8.0,9.0,3,0.0,0,584953,252195,19793481,0,66223,21440,110924000,20696852,112547363,-91850511,108628273,20551968,0,30648250,0,0,0,0,0,30659128,0,4218148,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,0,0,20630629,0,1623363,78661,794273,78661,0,1080520,0,3045,30659128,0,30648250,205520,0,0,425429,0,6000,0,0,50000,205520,85647675,4012628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134069969200906,1340699692009,rtf09pf,-225909,175909,10153.0,AMERICAN ART FOUNDATION INC,MEREDITH EDWARDS,767 FIFTH AVE 40TH FL,NEW YORK,NY,10153-0023,0.0,3.0,2.0,199911.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6,,Key,0,N,M,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.7701399999999999,B,A12,A,36061.0,5602.0,5600.0
12307,134073167,200912,201043.0,29491282011070,A11,N,Y,0.0,1.0,2009,3.0,2.0,1.0,3,0.0,152,0,60,0,0,0,0,0,212,162,50,0,50,0,17942,0,0,0,0,0,17942,0,883,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,60,0,162,10,0,10,0,0,0,0,17942,0,17942,1,0,0,0,0,0,0,0,0,1,17931,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134073167200912,1340731672009,rtf09pf,1,0,10128.0,YOUNG FOUNDATION,,1088 PARK AVE,NEW YORK,NY,10128-1132,0.0,3.0,1.0,200002.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,12,YOUNG JOHN TTEE,,0,N,,A11,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.77015,B,A11,A,36061.0,5602.0,5600.0
12312,134074520,200912,201024.0,29491142263230,A25,N,Y,0.0,1.0,2009,3.0,1.0,1.0,3,0.0,500,0,0,0,0,0,0,0,500,0,500,0,0,0,615,0,0,0,0,0,615,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,615,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134074520200912,1340745202009,rtf09pf,0,0,10276.0,ARTISTS BETWIXT AND BETWEEN INC,,PO BOX 1263,NEW YORK,NY,10276-1263,0.0,3.0,2.0,200005.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A25,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6390600000000001,B,A25,A,36061.0,5602.0,5600.0
12350,134080444,200912,201024.0,29491149384010,A11,N,Y,0.0,1.0,2009,2.0,3.0,3.0,3,0.0,75000,0,0,0,0,20151,0,0,95151,117858,-22707,2575,0,0,40342,0,0,0,0,2500,40342,0,2060,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,20151,117858,0,2575,0,115283,36171,0,0,36171,0,37842,0,0,0,0,0,0,0,0,0,0,41832,0,1,0,0,0,1,2575,12154,166461,187365,368555,1,0,0,0,1,0,0,0,0,0,1373,3549,8358,4564,17844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134080444200912,1340804442009,rtf09pf,0,0,10022.0,PARNASSUSWORKS FOUNDATION,RICHARD A RIFKIND,425 E 58TH ST,NEW YORK,NY,10022-2300,0.0,3.0,1.0,200001.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,12,,,0,N,,A11,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.49067,B,A11,A,36061.0,5602.0,5600.0
12385,134086699,200912,201043.0,29491275030180,A68,N,Y,0.0,1.0,2009,2.0,1.0,1.0,3,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5000,0,0,0,0,0,1,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,5000,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134086699200912,1340866992009,rtf09pf,0,0,10023.0,SAMUEL GOTTSCHALL CULTURAL FOUNDATION,JOV THEODORE SOMESFALEAN,170 W END AVE APT 22R,NEW YORK,NY,10023-5414,0.0,3.0,1.0,200102.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,3,N,,A122,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.7167100000000001,B,A1220,A,36061.0,5602.0,5600.0
12498,134097150,200912,201025.0,29491156022170,A54,N,Y,0.0,1.0,2009,2.0,3.0,3.0,3,0.0,33000,0,0,0,0,0,0,0,33000,64545,-31545,64545,0,0,60942,0,0,0,0,0,60942,0,3778,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,0,64545,0,64545,0,0,55630,0,0,60942,0,60942,0,0,0,0,0,0,0,0,0,0,76715,0,1,0,0,0,1,43230,50250,49365,0,142845,60492,92487,21134,841,174954,60492,92487,21134,841,174954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134097150200912,1340971502009,rtf09pf,0,0,10004.0,INDIA HOUSE FOUNDATION,GALLIS GROUP,32 BROADWAY STE 1309,NEW YORK,NY,10004-1819,0.0,3.0,1.0,200604.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A54,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.72975,B,A54,A,36061.0,5602.0,5600.0
12531,134105372,200912,201051.0,29491338072100,A65,N,Y,0.0,1.0,2009,2.0,3.0,1.0,3,0.0,8175,40,0,0,0,0,0,0,8215,7335,880,7235,0,40,25987,0,0,0,0,0,25987,0,1273,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,40,40,7335,100,7235,100,0,6132,0,0,25987,0,25987,0,0,0,0,0,0,0,0,0,0,25856,0,40,1367,0,0,1407,7235,5152,50922,6612,69921,0,0,0,0,0,0,0,0,0,0,849,911,779,935,3474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,134105372200912,1341053722009,rtf09pf,0,0,10036.0,AMERICAN STUDIO THEATER INC,US TRUST COMPANY OF NEW YORK,114 W 47TH ST TAXRGR,NEW YORK,NY,10036-1510,0.0,3.0,2.0,200205.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12,,,0,N,,A6E,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.44773,A,A6E,A,36061.0,5602.0,5600.0
12533,134106346,200812,,29491339159029,A80,,,,,2008,,,,3,,4580,313,0,0,0,0,0,0,4893,0,4893,0,313,313,30200,0,0,0,0,0,1,1278,1284,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,313,313,0,0,0,0,0,19794,0,0,0,0,30200,6,0,0,0,0,0,0,0,0,6,26075,1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,134106346200812,1341063462008,CORE08pf,0,0,10075.0,DESCENDANTS OF SIGNERS OF DECL OF INDEPENDENCE FOUNDATION INC,,,NEW YORK,NY,10075-1831,0.0,3.0,2.0,200008.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,12,,,0,N,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.99395,B,A80,A,36061.0,5602.0,5600.0
12562,134115047,201003,201041.0,29491268101050,A25,N,Y,0.0,1.0,2009,2.0,7.0,6.0,3,0.0,0,258,37933,185152,0,49926,95000,0,273269,225500,47769,160586,216419,34489,8359362,0,1054675,0,1054675,50000,8380460,0,64810,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,223663,99335,225500,7244,160586,7244,64846,0,0,0,8380460,50000,8309362,2164,0,0,2440,0,3000,0,0,3276,2164,1315948,0,34489,42087,26864,41232,144672,160586,195693,91683,149473,597435,8380460,8211316,8451740,8451505,33495021,7078183,7089223,7143673,7143673,28454752,43207,40177,44741,43411,171536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,134115047201003,1341150472010,rtf09pf,-3276,0,10022.0,SAUL STEINBERG FOUNDATION,JOHN SILBERMAN ASSOCIATES P C,145 E 57TH ST,NEW YORK,NY,10022-2141,0.0,3.0,2.0,200006.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,,,0,N,,A25,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.6766399999999999,B,A25,A,36061.0,5602.0,5600.0
12625,134135854,200808,,29491031005239,A65,,,,,2007,,,,3,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,134135854200808,1341358542008,CORE08pf,0,0,11238.0,ASSEMBLY PRODUCTIONS INC,,,BROOKLYN,NY,11238-3931,0.0,3.0,3.0,200102.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8,ASSEMBLY,,0,N,,A65,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.22584,B,A65,A,36047.0,5602.0,5600.0
