,EIN,CYCLE,DLN,NTEEIRS,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,NteeFinal,nteeFinal1,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,IndSupEstimate,IndSupCode,IndSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LONGITUDE,LATITUDE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr
34591,134048140,,29490343305156.0,,200606,2005,101483,0,0,0,93,0,0,0,93,93,101576,14999,110241,0,0,23664,110241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,101576,101576,0,0,0,0,0,0,0,86577,0,0,0,0,0,0,0,23664,0,0,0,0,93,0,0,0,0,0,0,86100,0,0,420,0,0,86520,86520,3,9,0,0,0.0,,2006,N,10014-0607,10014.0,134048140200606,1340481402006,6,0.0,0.0,0.0,PO BOX 607,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,10.0,0.0,BLACK MOUNTAIN COLLEGE PROJECT INC,1.0,199910.0,,NY,core05pc,,,,,,A82,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.323354,36061.0,5602.0,5600.0,A82,A,101483,8,2006.0,0.0,8,2006.0,110241.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,2,2006.0,-74.0071,40.733000000000004,PC,O,AR,A,IN,,,,,,,,,,,,,
34596,134049310,,29490259270116.0,,200512,2005,86584,0,0,0,0,0,0,0,0,0,86584,84206,2631,25400,0,253,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86584,86584,0,0,0,0,0,0,0,2378,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,208167,0,0,0,0,0,208283,208283,3,9,0,0,0.0,,2005,N,10011-3803,10011.0,134049310200512,1340493102005,12,0.0,0.0,0.0,459 W 19TH ST,3.0,0.0,NEW YORK,1.0,WOLFGANG STAEHLE PRES,1.0,13.0,15.0,10.0,0.0,THING INC,1.0,199907.0,,NY,core05pc,,,,,,A40,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.883726,36061.0,5602.0,5600.0,A40,A,71584,8,2005.0,15000.0,8,2005.0,2631.0,8,2005.0,0.0,8,2005.0,0.0,8,2005.0,0.0,8,2005.0,0.0,0,2005.0,0.0,8,2005.0,0.0,8,2005.0,0.0,2,2005.0,-73.9997,40.7409,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,2631.0,6,2003.0
34598,134050560,200741.0,29490259050037.0,B80,200612,2006,98030,0,0,0,0,14620,0,0,0,0,98030,100972,-4962,0,0,20330,13268,22350,18230,0,0,0,0,0,0,0,0,0,0,0,0,,98030,98030,0,0,0,0,0,0,0,-2942,0,0,0,0,0,0,0,-2020,0,0,0,0,0,0,0,0,0,0,0,249250,0,0,27,0,0,256263,256263,3,7,0,0,0.0,1.0,2006,N,10027-3616,10027.0,134050560200612,1340505602006,12,0.0,0.0,0.0,301 W 125TH SUITE 3 WEST,3.0,0.0,NEW YORK,1.0,RICHARD GREGORY CALTON,1.0,13.0,15.0,10.0,0.0,HARLEMLIVE INC,1.0,199911.0,,NY,rtf06pc,1.0,1.0,1.0,2.0,,A33,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.957417,36061.0,5602.0,5600.0,A33,A,91328,4,2006.0,6702.0,4,2006.0,-4962.0,4,2006.0,10925.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,16788.0,2,2006.0,-73.9538,40.8113,PC,O,AR,A,IN,,0.0,6,2002.0,803.0,6,2002.0,0.0,6,2002.0,771.0,6,2002.0
34599,134051235,200731.0,29490195380047.0,A310,200612,2006,491397,0,5525,4090,49,19720,0,0,22278,18188,513675,532841,19068,45000,0,45748,24253,999,2761,0,0,0,0,0,0,0,0,0,16704,0,0,,509585,509585,0,1435,0,0,0,0,0,-23256,-2425,0,1063,0,0,0,0,44749,0,0,0,0,0,49,0,0,0,0,0,265572,0,82575,3663,0,0,351810,269235,3,9,0,0,0.0,1.0,2006,N,11201-0000,11201.0,134051235200612,1340512352006,12,0.0,0.0,0.0,3P4-WARREN ST,3.0,0.0,BROOKLYN,2.0,TERENCE MULLISAN,1.0,11.0,15.0,10.0,0.0,FILM FLEADH FOUNDATION,1.0,199908.0,,NY,rtf06pc,1.0,3.0,3.0,3.0,,A31,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.42192700000000005,36047.0,5602.0,5600.0,A31,A,435386,4,2006.0,56011.0,4,2006.0,19068.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9902,40.6944,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34604,134052607,200703.0,29490364137086.0,A25,200512,2005,14684,3320,0,0,287,0,0,0,78615,78615,96619,140156,7269,18940,0,52056,33120,0,25851,0,0,0,0,0,0,0,0,0,78328,0,0,,96619,96619,0,0,0,0,0,0,0,-43537,-1250,0,0,0,0,0,0,52056,0,0,0,0,287,0,0,0,0,0,0,91067,7944,113110,166,0,0,212287,99177,3,9,0,0,0.0,1.0,2005,N,11217-3406,11217.0,134052607200512,1340526072005,12,0.0,0.0,0.0,204 ST JOHNS PL STE 1,3.0,0.0,BROOKLYN,2.0,JOANNA MERLIN,1.0,11.0,15.0,10.0,0.0,MICHAEL CHEKHOV ASSOCIATION INC,1.0,199909.0,,NY,rtf06pc,1.0,1.0,1.0,2.0,,A60,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.8413870000000001,36047.0,5602.0,5600.0,A0360,A,14684,4,2005.0,0.0,4,2005.0,7269.0,4,2005.0,0.0,8,2005.0,0.0,4,2005.0,0.0,4,2005.0,0.0,0,2005.0,0.0,4,2005.0,0.0,4,2005.0,0.0,2,2005.0,-73.9794,40.6825,PC,O,AR,A,IN,,0.0,6,2003.0,2629.0,6,2003.0,0.0,6,2003.0,30491.0,6,2003.0
34617,134055215,200733.0,29490209318187.0,A57,200612,2006,68364,710,0,0,1114,5456,0,0,1114,1114,70188,48397,300819,0,0,337599,305536,59503,4717,0,0,0,0,0,0,0,0,0,0,0,0,,70188,70188,0,0,0,0,0,0,0,21791,932,7640,1413,0,0,0,0,278096,0,0,0,0,850,264,0,0,0,0,0,773003,62898,0,1731,0,0,837632,837632,3,7,0,0,0.0,1.0,2006,N,10301-2512,10301.0,134055215200612,1340552152006,12,0.0,0.0,0.0,30 BAY STREET STE 501,3.0,0.0,STATEN ISLAND,2.0,LEWIS P JOHNSON,1.0,13.0,15.0,10.0,0.0,NATIONAL LIGHTHOUSE MUSEUM,1.0,199906.0,,NY,rtf06pc,2.0,1.0,1.0,1.0,,A54,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.46889899999999995,36085.0,5602.0,5600.0,A54,A,51183,8,2006.0,17181.0,8,2006.0,240901.0,8,2006.0,252238.0,8,2006.0,59918.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,278699.0,2,2006.0,-74.0923,40.6308,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,7394.0,6,2003.0,4095.0,6,2003.0
34622,134056937,,29409343149366.0,,200606,2005,33478,0,0,0,0,0,0,0,45490,45490,78968,68356,12548,0,0,7736,12548,0,0,0,0,0,0,0,0,0,0,5800,33564,6126,0,,73168,73168,0,0,0,0,0,11926,0,4812,0,0,0,0,0,0,0,7736,0,0,0,0,0,0,0,0,0,0,0,176940,0,68493,0,0,0,245433,176940,3,9,0,0,0.0,,2006,N,10017-4813,10017.0,134056937200606,1340569372006,6,0.0,0.0,0.0,333 E 43RD ST APT 505,3.0,0.0,NEW YORK,1.0,BARRY SHAPIRO,1.0,13.0,16.0,10.0,0.0,THE ROUNDTABLE ENSEMBLE LTD,1.0,199910.0,,NY,core05pc,,,,,,A65,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.840993,36061.0,5602.0,5600.0,A65,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9728,40.7519,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34623,134057310,,29490336126236.0,,200512,2005,281627,0,0,0,1636,0,0,0,6580,6580,288207,93251,301950,58500,0,107121,301950,127,0,0,0,0,0,0,0,0,0,0,3944,0,1000,,288207,288207,0,0,0,0,0,0,0,194956,0,0,4634,0,0,0,0,106994,0,0,0,0,1636,0,0,0,0,0,0,431076,0,122793,3990,0,0,566022,443229,3,7,0,0,0.0,,2005,N,10009-4562,10009.0,134057310200512,1340573102005,12,0.0,0.0,0.0,169 AVENUE A,3.0,0.0,NEW,1.0,JOE RICHMAN,1.0,13.0,15.0,10.0,0.0,RADIO DIARIES INC,1.0,199912.0,,NY,core05pc,,,,,,A31,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.06406970000000001,36061.0,5602.0,5600.0,A31,A,241623,4,2005.0,40004.0,4,2005.0,301950.0,4,2005.0,5075.0,8,2005.0,0.0,4,2005.0,0.0,4,2005.0,0.0,0,2005.0,0.0,4,2005.0,0.0,4,2005.0,1774.0,2,2005.0,-73.9785,40.7255,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34629,134058830,200750.0,29490321093187.0,A40,200612,2006,66795,4840,0,0,0,0,0,0,101558,101558,173193,169994,8283,36000,0,24557,23738,19473,15455,0,0,0,0,0,0,0,0,0,101558,0,0,,173193,173193,0,0,0,0,0,0,0,3199,0,0,2859,0,0,0,0,5084,0,0,0,0,0,0,0,0,0,0,0,64107,20150,535604,3515,0,0,623376,87772,3,7,0,0,0.0,1.0,2006,N,10002-3391,10002.0,134058830200612,1340588302006,12,0.0,0.0,0.0,107 SUFFOLK ST APT 411,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,ARTISTS ALLIANCE INC,1.0,199911.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A40,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.758685,36061.0,5602.0,5600.0,A40,A,66795,4,2006.0,0.0,4,2006.0,8283.0,4,2006.0,484.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,414.0,2,2006.0,-73.9866,40.7153,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,8198.0,6,2003.0
34632,134059276,,29409259221026.0,,200512,2005,42552,0,0,0,0,0,0,0,12236,12236,54788,48501,2870,0,0,7633,14299,0,11429,0,0,0,0,0,0,0,0,0,12236,0,0,,54788,54788,0,0,0,0,0,0,0,6287,-11050,0,0,0,0,0,0,7633,0,0,0,0,0,0,0,0,0,0,0,74087,0,9398,0,0,0,83485,74087,3,9,0,0,0.0,,2005,N,10116-0986,10116.0,134059276200512,1340592762005,12,0.0,0.0,0.0,PO BOX 986,3.0,0.0,NEW YORK,1.0,N ALEXANDRA DAILY,1.0,13.0,15.0,10.0,0.0,PAGE SEVENTY THREE PRODUCTIONS INC,1.0,199907.0,,NY,core05pc,,,,,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.00493668,36061.0,5602.0,5600.0,A65,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9532,40.8119,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
34633,134059887,200722.0,29490125062277.0,A23,200612,2006,0,0,0,0,1258,0,0,0,83525,83525,83525,74945,54135,0,0,47550,64727,1995,10592,0,0,0,0,0,0,0,0,0,82267,0,0,,83525,83525,0,0,0,0,0,0,0,8580,0,0,0,0,0,0,0,45555,0,0,0,0,1258,0,0,0,0,0,0,0,0,241583,2141,0,0,243724,2141,3,9,0,0,0.0,1.0,2006,N,10029-4655,10029.0,134059887200612,1340598872006,12,0.0,0.0,0.0,161 E 106TH ST,3.0,200612.0,NEW YORK,2.0,JUDITH ESCALONA,1.0,13.0,15.0,10.0,0.0,PR PROJECT,1.0,200211.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A23,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.862931,36061.0,5602.0,5600.0,A23,A,0,8,2006.0,0.0,8,2006.0,54135.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,2,2006.0,-73.9439,40.7917,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34635,134059982,200746.0,29409216103117.0,A65,200606,2005,16875,0,0,0,0,0,0,0,37668,37668,54543,49407,10429,0,0,45635,60731,40342,50302,0,0,0,0,0,0,0,0,0,37668,0,0,,54543,54543,0,0,0,0,0,0,0,5136,0,0,0,0,0,0,0,5293,0,0,0,0,0,0,0,0,0,0,0,89502,0,96904,0,0,0,186406,89502,3,7,0,0,0.0,1.0,2006,N,10011-7232,10011.0,134059982200606,1340599822006,6,0.0,0.0,0.0,212 W 14TH ST APT 2A,3.0,0.0,NEW YORK,1.0,MELBA LAROSE,1.0,13.0,15.0,10.0,0.0,NY ARTISTS UNLIMITED,1.0,200005.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.910433,36061.0,5602.0,5600.0,A65,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9997,40.7409,PC,O,AR,A,IN,,0.0,6,2003.0,46441.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34637,134061242,200730.0,29409195195037.0,A6C,200612,2006,21914,0,0,0,0,0,0,0,11660,11660,33574,32654,12301,0,0,11381,12301,0,0,0,0,0,0,0,0,0,0,0,11660,0,0,,33574,33574,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,11381,0,0,0,0,0,0,0,0,0,0,0,95307,0,46131,0,0,770,142208,96077,3,9,0,0,0.0,1.0,2006,N,10040-3723,10040.0,134061242200612,1340612422006,12,0.0,0.0,0.0,720 FORT WASHINGTON AVE APT 4G,3.0,0.0,NEW YORK,2.0,TSE-SHENG E CHANG,1.0,13.0,16.0,10.0,0.0,LIGHTHOUSE CHAMBER PLAYERS INC,1.0,199910.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A6C,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.531842,36061.0,5602.0,5600.0,A6C,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9293,40.8585,PC,O,AR,A,IN,,0.0,6,2003.0,397.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34641,134062019,200725.0,93409161000007.0,P20,200612,2006,0,34,0,0,0,0,0,0,55160,55160,55194,51250,24500,0,0,20556,24500,0,0,0,0,0,0,0,0,0,0,0,55160,0,0,,55194,55194,0,0,0,0,0,0,0,3944,0,0,0,0,0,0,0,20556,0,0,0,0,0,0,0,0,0,0,0,69266,0,702659,707,0,0,772632,69973,3,9,0,0,0.0,1.0,2006,N,10159-1814,10159.0,134062019200612,1340620192006,12,0.0,0.0,0.0,PO BOX 1814,3.0,0.0,NEW YORK,1.0,MAY FIRSTPEOPLE LINK,1.0,13.0,15.0,10.0,0.0,MEDIA JUMPSTART,1.0,200107.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A30,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.524246,36061.0,5602.0,5600.0,A30,A,0,6,2003.0,0.0,6,2003.0,24500.0,6,2003.0,984.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,613.0,6,2003.0,-73.984,40.7393,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34649,134063615,200708.0,29409034062337.0,A69,200608,2005,25500,0,0,0,0,0,0,0,9241,9241,34741,36720,36773,0,0,38752,36773,0,0,0,0,0,0,0,0,0,0,0,9241,0,0,,34741,34741,0,0,0,0,0,0,0,-1979,0,0,0,0,0,0,0,38752,0,0,0,0,0,0,0,0,0,0,0,106108,0,14469,0,0,0,120577,106108,3,7,0,0,0.0,1.0,2006,N,10301-4450,10301.0,134063615200608,1340636152006,8,0.0,0.0,0.0,300 HOWARD AVE - FLYNN HALL,3.0,0.0,STATEN ISLAND,2.0,ALAN AURELIA,1.0,13.0,15.0,10.0,0.0,RICHMOND COUNTY ORCHESTRA INC,1.0,199912.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A69,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.381392,36085.0,5602.0,5600.0,A69,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-74.0923,40.6308,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
34658,134064641,200742.0,29490265336097.0,V21,200612,2006,30711,0,0,0,69,0,0,0,69,69,30780,36606,43922,4225,0,54748,43922,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,,30780,30780,0,0,0,0,0,0,0,-5826,0,0,420,0,0,0,0,49748,0,0,0,0,69,0,0,0,0,0,0,77515,0,0,59,0,0,77574,77574,3,9,0,0,0.0,1.0,2006,N,10013-3939,10013.0,134064641200612,1340646412006,12,0.0,0.0,0.0,373 BROADWAY RM E1,3.0,0.0,NEW YORK,8.0,DAVID NELSON GIMBEL,1.0,13.0,15.0,10.0,0.0,ARCHAEOS INC,1.0,200004.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A70,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.48221899999999995,36061.0,5602.0,5600.0,A70,A,30711,8,2006.0,0.0,8,2006.0,43922.0,8,2006.0,32202.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,40157.0,2,2006.0,-74.0047,40.7201,PC,O,AR,A,IN,,0.0,6,2003.0,1715.0,6,2003.0,0.0,6,2003.0,10552.0,6,2003.0
34660,134065148,200732.0,29490209034237.0,B12,200612,2006,277160,0,0,0,3352,2323,0,0,3352,3352,280512,402845,59371,0,0,186655,62144,2773,2773,59371,0,0,0,0,0,0,0,0,0,0,0,,280512,280512,0,0,0,0,0,0,0,-122333,-2178,0,0,0,0,0,0,183882,0,0,0,0,3352,0,0,0,0,0,0,4303684,0,0,3087,0,0,4306771,4306771,3,9,0,183882,0.0,1.0,2006,N,10022-5524,10022.0,134065148200612,1340651482006,12,0.0,0.0,0.0,509 MADISON AVE RM 1916,3.0,0.0,NEW YORK,1.0,RICHARD K BERNSTEIN ASSOCIATES PC,1.0,13.0,15.0,10.0,0.0,FRIENDS OF THE IHES INC,1.0,199908.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A11,,A,A,A,AR,AR,AR,IN,,PC,S,ZA,A,0.525437,36061.0,5602.0,5600.0,A11,A,277160,3,2005.0,0.0,3,2005.0,0.0,3,2005.0,0.0,8,2006.0,0.0,3,2005.0,0.0,3,2005.0,0.0,0,2006.0,0.0,3,2005.0,0.0,3,2005.0,0.0,8,2005.0,-73.9679,40.7582,PC,S,ZA,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,47759.0,6,2003.0
34667,134067116,200751.0,29490321116037.0,A68,200612,2006,649662,0,0,0,13733,79227,0,0,313855,313855,963517,736732,393333,127870,0,326283,420824,43409,27491,0,0,0,0,0,0,0,0,116326,86730,72191,17387,,847191,847191,7488,0,0,0,0,188517,0,110459,0,114225,17874,0,0,0,0,282874,0,0,0,0,13733,0,7488,0,0,0,0,1977450,0,409001,11111,0,0,2397562,1988561,3,9,0,0,0.0,1.0,2006,N,10010-8094,10010.0,134067116200612,1340671162006,12,0.0,0.0,0.0,1133 BROADWAY STE 530,3.0,0.0,NEW YORK,2.0,LESLIE FAERSTEIN,1.0,13.0,16.0,10.0,0.0,MUSICIANS ON CALL INC,1.0,199908.0,,NY,rtf06pc,2.0,3.0,3.0,3.0,,A68,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.36589299999999997,36061.0,5602.0,5600.0,A68,A,649662,8,2006.0,0.0,8,2006.0,343333.0,8,2006.0,9973.0,8,2006.0,50000.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,7676.0,2,2006.0,-73.9826,40.7386,PC,O,AR,A,IN,,0.0,6,2003.0,15430.0,6,2003.0,0.0,6,2003.0,28055.0,6,2003.0
34675,134069053,200708.0,29490034068007.0,A65,200606,2005,102114,0,0,0,77,6273,0,0,27696,27696,129810,125460,18262,81566,0,39410,23449,20659,5187,0,0,0,0,0,0,0,0,4839,22331,0,449,,124971,124971,0,0,0,0,0,4839,0,-489,0,0,0,0,0,10000,0,18751,0,0,0,0,77,0,0,0,0,0,0,224638,0,28320,180,0,0,253138,224818,3,7,0,0,0.0,1.0,2006,N,10017-3924,10017.0,134069053200606,1340690532006,6,0.0,0.0,0.0,441 LEXINGTON AVE PH,3.0,0.0,NEW YORK,1.0,,1.0,13.0,15.0,10.0,0.0,WOMENS EXPRESSIVE THEATER INC,1.0,200005.0,WET,NY,rtf06pc,1.0,2.0,2.0,2.0,,A30,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.08819450000000001,36061.0,5602.0,5600.0,A30,A,102114,4,2006.0,0.0,4,2006.0,13245.0,4,2006.0,0.0,8,2006.0,5017.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9728,40.7519,PC,O,AR,A,IN,,,,,,,,,,,,,
34678,134069251,200706.0,29490021019017.0,A51,200512,2005,443756,0,0,0,1203,0,0,0,1203,1203,444959,458574,1127301,0,101400,1417871,1434301,277500,307000,0,0,0,0,0,0,0,0,0,0,0,0,,444959,444959,0,0,0,0,0,0,0,-13615,545,110208,4284,0,0,0,0,1140371,0,0,0,0,0,1203,0,0,0,0,0,1587475,0,0,0,0,0,1587475,1587475,3,7,0,0,0.0,1.0,2005,N,10019-1573,10019.0,134069251200512,1340692512005,12,0.0,0.0,0.0,106 CENTRAL PARK S APT 15A,3.0,0.0,NEW YORK,2.0,WHITE & CASE LLP ATTN DANIEL FORD,1.0,13.0,15.0,10.0,0.0,EXPLORING THE ARTS INC,1.0,200001.0,,NY,rtf06pc,4.0,2.0,2.0,2.0,,A51,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.277113,36061.0,5602.0,5600.0,A51,A,443756,2,2006.0,0.0,2,2006.0,192540.0,2,2006.0,0.0,8,2005.0,934761.0,2,2006.0,0.0,2,2006.0,0.0,0,2005.0,0.0,2,2006.0,0.0,2,2006.0,0.0,8,2004.0,-73.9853,40.7652,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,220060.0,6,2003.0,769773.0,6,2003.0
34681,134069919,200706.0,29490020277007.0,A65,200606,2005,960528,0,0,0,73,30,0,0,225417,225417,1185945,868149,648903,22500,0,1785979,1673232,1454872,1024329,0,0,0,0,0,0,0,0,0,50466,0,0,,1185945,1185945,174878,0,0,0,0,0,0,317796,0,94808,18985,0,0,0,0,331107,0,0,0,0,73,0,174878,0,0,0,0,4552352,0,2165132,94678,0,0,6812162,4647030,3,9,0,0,0.0,1.0,2006,N,10014-3276,10014.0,134069919200606,1340699192006,6,0.0,0.0,0.0,259 W 4TH ST APT 3,3.0,0.0,NEW YORK,1.0,DAVID J FISHELSON,1.0,13.0,16.0,10.0,0.0,MANHATTAN ENSEMBLE THEATRE INC,1.0,199912.0,,NY,rtf06pc,4.0,4.0,4.0,3.0,,A65,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.787791,36061.0,5602.0,5600.0,A65,A,955528,4,2006.0,5000.0,4,2006.0,648903.0,4,2006.0,1624881.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,1734317.0,2,2006.0,-74.0071,40.733000000000004,PC,O,AR,A,IN,,0.0,6,2003.0,26494.0,6,2003.0,0.0,6,2003.0,75053.0,6,2003.0
