,EIN,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,NTEE,NTEE2,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,SUBSECCD,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDCD,ORGCD,DISTRICT,ARED,TAXPER,FRCD,ACCPER,SEC_NAME,ACTIV1,ACTIV2,ACTIV3,SOURCE,ENDDATE,OUTREAS,OUTNCCS,LEVEL2,LEVEL3,LEVEL4,LEVEL1,RASCD,RINCCD,REXPCD,RREVCD,VBS,VFB,VINCEXP,VINCTYPE,VOK,FIPS,MSA_NECH,FNDNCD,CATEGORY,SUBCATEGORY,FY_97,FISYR,BOND_BOY,BOND_EOY,CONT4,DUES4,GRREC4,GRTNONTX,GVTSRV4,INCPURP4,INVENTG,INVINC4,LOBNOTAX,LOBOTH,MRTG_BOY,MRTG_EOY,NETA_BOY,NETINC,NETRENT,NTEECC,NTEECC3D,OTHCHGS,OTHINC4,OTHINVST,OTHSAL,PAYTAX,RENTINC,RETE_BOY,SALEOTHE,SALEOTHG,SALEOTHN,SALESECN,SAVINT,SECINC,SPEVTG,TAXREV4,TOTREV2,ZIP5,LIBEOY97,LIB97,V_BOYAL,V_FB,V_REVEXP,V_EOYAL,NTEE4CD,NTEEDEC,NTEEMID,NTEE1,NTEECODE,V_FREXP,V_CONT,V_GREC,NTEECC4D,PMSA,NTEEIRS,REASON,RandNum,zipnew,fipsold,v_errorCd,NTmaj12,NteeDraft,stateOld1,zip5Old1,cityOld1,Ntee2007a,Ntee42007a,MAJGRPB,ntmaj10,ntmaj5,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,GovGtEstimate,GovGtCode,GovGtYr
18739,133081500,1996,1197380,0,0,0,21306,183686,0,0,273989,273989,1471370,1240230,492863,69389,0,733499,766745,219096,273882,0,0,0,0,0,0,0,0,0,0,0,0,252683,0,0,0,,1218690,A33,Q70Z,COMMITTEE TO PROTECT JOURNALISTS INC,,330 7TH AVE 12TH FLR,NEW YORK,NY,10001-5010,0.0,3,3.0,1000.0,198202.0,1.0,,1.0,13.0,198312.0,199612,10.0,12,,125.0,430.0,0.0,B9710,,,IN,O,AR,A,PC,3.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,16.0,A,A33,,1996,0,0,3718670,0,49116,0,0,3718670,0,0,0,0,0,0,514403,-21540,0,A33,,0,3767790,7023,520694,44554,0,0,0,0,0,0,11577,2706,252683,0,1218690,10001.0,0,0,9,1,9,1,,3.0,33,A,Z,1,1,1,,5600.0,,7,0.126138,10001.0,3606.0,,AR,R20,NY,10001.0,NEW YORK,R20,,A,AR,AR,PC,O,AR,A,IN,,R20,R,0.0,1e,2099.0
18742,133081560,1997,0,0,3564680,2709950,7836290,0,0,0,11401000,8691020,11401000,7707340,138043008,0,0,182828992,138051008,5525,8541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8691020,A11,,DEWITT WALLACE FUND FOR COLONIAL WILLIAMSBURG,% TREASURER,2 PARK AVE 23RD FLR,NEW YORK,NY,10016-9301,0.0,3,3.0,2000.0,198108.0,1.0,,1.0,13.0,198312.0,199712,10.0,12,,62.0,0.0,0.0,B9710,,,IN,S,ZA,A,PC,6.0,,5.0,5.0,0,,0,,0,36061.0,5602.0,17.0,A,A11,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182823008,983680,0,A11,,-45764300,0,0,0,0,0,0,0,0,0,854728,50284,7786010,0,0,8691020,10016.0,0,0,1,2,9,1,,1.0,11,A,I,1,1,1,8,5600.0,A54I,10,0.7228060000000001,10016.0,3606.0,,AR,A11,NY,10016.0,NEW YORK,A11,,A,AR,AR,PC,S,ZA,,IN,,A11,A,,,
18745,133082072,1996,56050,28540,0,0,1400,1648,1901,1843,272936,271035,357526,317787,55729,0,0,62511,90487,34650,34758,0,0,0,0,0,0,0,0,0,0,0,0,9970,239193,4721,13908,,345655,A6B,,BIG APPLE PERFORMING ARTS INC,,55 CHRISTOPHER ST 2ND FL,NEW YORK,NY,10014-3508,0.0,3,3.0,1000.0,198311.0,1.0,,1.0,13.0,0.0,199708,10.0,8,,89.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A6B,,1997,0,0,232365,68484,1092490,0,0,329870,3744,9500,0,0,0,0,27861,27868,0,A6B,,0,1422360,0,0,0,0,0,0,0,0,0,0,1400,14691,0,345655,10014.0,0,0,9,1,1,1,,6.0,6B,A,Z,1,1,1,,5600.0,,7,0.41872200000000004,10014.0,3606.0,,AR,A6B,NY,10014.0,NEW YORK,A6B,,A,AR,AR,PC,O,AR,A,IN,,A6B,A,0.0,3b,1998.0
18748,133082845,1996,223685,0,0,0,16,0,0,0,116805,116805,340490,372300,9771,0,0,79753,44528,38172,34757,0,0,0,0,0,0,0,0,0,0,0,0,0,108356,8433,0,,340490,A90,A62Z,FOUNDATION FOR INDEPENDENT ARTISTS INC,,104 FRANKLIN ST,NEW YORK,NY,10013-2910,0.0,3,3.0,1000.0,198111.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,119.0,149.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A90,,1997,0,0,1083890,0,2746610,0,0,1084280,0,386,0,0,0,6000,41581,-31810,0,A90,,0,3830890,0,77678,11609,0,0,0,0,0,0,16,0,8433,0,340490,10013.0,0,0,1,1,9,1,,9.0,90,A,Z,1,1,1,,5600.0,A91Z,9,0.981991,10013.0,3606.0,,AR,A90,NY,10013.0,NEW YORK,A90,,A,AR,AR,PC,O,AR,A,IN,,A90,A,0.0,3b,1998.0
18762,133085180,1996,25223300,0,165206,0,413166,828103,0,0,24583300,24583300,49806600,52005500,11714500,0,0,22452100,21007800,9544300,9293300,-2622120,0,0,0,0,0,0,0,0,0,0,0,0,24032500,0,-27601,,49806600,A65,,ROYAL SHAKESPEARE,% LUTZ & CARR,300 E 42ND ST,NEW YORK,NY,10017-5947,0.0,3,3.0,1200.0,198110.0,1.0,,1.0,13.0,0.0,199703,10.0,3,,123.0,90.0,94.0,B9710,,,IN,O,AR,A,PC,,,,,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,61823300,0,75567504,0,0,64149200,0,1395920,0,0,0,0,12907900,-2198970,0,A65,,1005650,139716992,0,0,0,0,407948,0,0,0,165206,0,413166,0,0,49806600,10017.0,0,0,1,2,9,1,,6.0,65,A,Z,1,1,1,,5600.0,,7,0.500346,10017.0,3606.0,,AR,A65,NY,10017.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,21949031.0,1b,2097.0
18770,133087478,1996,40722,0,0,0,0,0,0,0,10625,10625,51347,50401,230,0,0,222,480,938,250,0,0,0,0,0,0,0,0,0,0,0,0,0,10625,0,0,,51347,A60,,SAFARI EAST CULTURAL PRESENTATIONS INC,,31 E 28TH ST,NEW YORK,NY,10016-7923,0.0,3,3.0,1000.0,198111.0,1.0,,1.0,13.0,0.0,199708,10.0,8,,286.0,317.0,0.0,bm981,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1997,0,0,172840,0,87899,0,0,172840,0,0,0,0,0,0,-716,946,0,A60,,0,260739,0,0,0,0,0,0,0,0,0,0,0,0,0,51347,10016.0,0,0,.,1,1,1,,6.0,60,A,Z,1,1,1,,5600.0,A65Z,7,0.439618,10016.0,3606.0,,AR,A68,NY,10016.0,NEW YORK,A68,,A,AR,AR,PC,O,AR,A,IN,,A68,A,40722.0,3b,1998.0
18771,133087483,1996,25227,0,0,0,0,177048,0,0,177505,177505,202732,195075,-8549,41600,0,3306,12390,19512,20939,0,0,0,0,0,0,0,0,0,0,0,0,0,177505,0,0,,202732,A65,,PUPPET WORKS INC,,PO BOX 562,BROOKLYN,NY,11215-0562,0.0,3,3.0,2000.0,198110.0,1.0,,1.0,11.0,198206.0,199706,10.0,6,,90.0,995.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36047.0,5602.0,16.0,A,A65,,1997,0,0,62553,0,617843,0,0,62553,0,0,0,0,0,0,-16206,7657,0,A65,,0,680396,0,58100,10886,0,0,0,0,0,0,0,0,0,0,202732,11215.0,0,0,1,9,1,9,,6.0,65,A,Z,1,1,1,,5600.0,A65Z,7,0.264087,11215.0,3604.0,,AR,A65,NY,11215.0,BROOKLYN,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,0.0,3b,1998.0
18772,133087485,1996,36935,0,0,0,252,6677,0,0,24476,24476,61411,73835,-6668,13454,0,13593,8076,2090,14744,0,0,0,0,0,0,0,0,0,0,0,0,5747,17788,0,689,,55664,A65,,NEW YORK DEAF THEATRE LTD,,305 7TH AVE,NEW YORK,NY,10001-6008,0.0,3,3.0,1000.0,198110.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,119.0,603.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A65,,1997,0,0,210748,0,81502,0,0,226329,0,422,0,0,0,0,11503,-18171,0,A65,,0,307831,0,1035,478,0,0,0,0,0,0,252,0,5747,0,55664,10001.0,0,0,1,9,9,9,,6.0,65,A,Z,1,1,1,,5600.0,,7,0.00158196,10001.0,3606.0,,AR,A65,NY,10001.0,NEW YORK,A65,,A,AR,AR,PC,O,AR,A,IN,,A65,A,11351.0,3b,1998.0
18782,133091475,1997,19000,0,0,0,0,0,0,0,49275,49275,68275,58690,20270,0,0,21975,33243,11290,12973,0,0,0,0,0,0,0,0,0,0,0,0,0,49275,0,0,,68275,A99,,SIMEON SERVICE FOUNDATION INC,,1020 CARROLL PL,BRONX,NY,10456-6219,0.0,3,3.0,1000.0,198111.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36005.0,5602.0,15.0,A,A99,,1997,0,0,98975,0,78164,0,0,98975,0,0,0,0,0,0,10685,9585,0,A99,,0,177139,0,41446,3171,0,0,0,0,0,0,0,0,0,0,68275,10456.0,0,0,1,1,1,1,,9.0,99,A,Z,1,1,1,,5600.0,,7,0.11760799999999999,10456.0,3600.0,,AR,A99,NY,10456.0,BRONX,T20,,A,AR,AR,PC,O,AR,A,IN,,A99,A,14000.0,3b,1998.0
18799,133093349,1996,6830,36901,0,0,6,0,0,0,20734,20734,64465,64878,22144,0,0,23892,22144,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15577,0,5151,,64465,A99,,SOHO 20 ARTISTS INC,,545 BROADWAY 3RD FLR,NEW YORK,NY,10012-3921,0.0,3,3.0,3000.0,198905.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A99,,1997,0,0,72017,103835,15849,0,0,192852,0,0,0,0,0,0,22557,-413,0,A99,,0,208701,6,0,0,0,0,0,0,0,0,0,0,0,0,64465,10012.0,0,0,1,1,9,1,,9.0,99,A,Z,1,1,1,,5600.0,,9,0.991132,10012.0,3606.0,,AR,A99,NY,10012.0,NEW YORK,A40,,A,AR,AR,PC,O,AR,A,IN,,A99,A,0.0,3b,1998.0
18800,133093526,1995,29659,0,0,0,0,0,0,0,23699,23699,53358,54185,-12116,0,0,14756,10892,26044,23007,0,0,0,0,0,0,0,0,0,0,0,0,0,23699,0,0,,53358,A60,,SYLVAN WINDS INC,,PO BOX 4267,NEW YORK,NY,10163-4267,0.0,3,3.0,1000.0,0.0,1.0,,5.0,13.0,0.0,199606,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A60,,1996,0,0,215470,0,104340,0,0,216519,0,1049,0,0,0,0,-11289,-827,0,A60,,0,320859,0,0,0,0,0,0,0,0,0,0,0,0,0,53358,10163.0,0,0,9,9,9,9,,6.0,60,A,Z,1,1,1,,5600.0,,7,0.182293,10163.0,3606.0,,AR,A68,NY,10163.0,NEW YORK,A68,,A,AR,AR,PC,O,AR,A,IN,,A68,A,0.0,6,2003.0
18803,133094054,1997,119365,0,0,0,173,0,0,0,7137,7137,126502,133692,2689,52000,0,39203,20948,29324,18259,0,0,0,0,0,0,0,0,0,0,0,0,0,6964,0,0,,126502,A34,A60Z,NEW RADIO & PERFORMING ARTS INC,,120 TYSEN ST,STATEN ISLAND,NY,10301-1120,0.0,3,3.0,1000.0,198201.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,119.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36085.0,5602.0,15.0,A,A34,,1997,0,0,657723,0,41007,0,0,660574,0,2851,0,0,0,0,9879,-7190,0,A34,,0,701581,0,0,3798,0,0,0,0,0,0,173,0,0,0,126502,10301.0,0,0,1,1,9,1,,3.0,34,A,Z,1,1,1,,5600.0,,7,0.903085,10301.0,3608.0,,AR,A34,NY,10301.0,STATEN ISLAND,A34,,A,AR,AR,PC,O,AR,A,IN,,A34,A,119365.0,3b,1998.0
18809,133095824,1996,23080,0,0,0,1688,0,0,3914,8594,8594,31674,52877,23120,0,0,44485,27048,162,3928,0,0,0,0,0,0,0,0,0,0,0,0,0,2992,0,0,,31674,A6C,,HARMONIE ENSEMBLE INC,,820 W END AVE STE 13 B,NEW YORK,NY,10025-5386,0.0,3,3.0,2000.0,198201.0,1.0,,1.0,13.0,198312.0,199709,10.0,9,,90.0,995.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A6C,,1997,0,0,69160,0,0,0,0,108436,3914,1239,0,0,0,0,44323,-21203,0,A6C,,0,108436,1688,0,0,0,0,0,0,0,0,0,0,0,0,31674,10025.0,0,0,1,1,9,1,,6.0,6C,A,Z,1,1,1,,5600.0,,7,0.608625,10025.0,3606.0,,AR,A6C,NY,10025.0,NEW YORK,A6C,,A,AR,AR,PC,O,AR,A,IN,,A6C,A,0.0,6,2003.0
18811,133096058,1996,53610,0,0,0,0,0,0,0,0,0,53610,12031,66811,0,0,15711,66811,0,0,53100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53610,A60,,BARBARA BARONDESS THEATRE LAB FOUNDATION INC,,630 PARK AVE,NEW YORK,NY,10021-6544,0.0,3,3.0,2000.0,198201.0,1.0,,1.0,13.0,198312.0,199612,10.0,12,,90.0,995.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A60,,1996,0,0,68044,0,0,0,0,68044,0,0,0,0,0,0,15711,41579,0,A60,,9521,68044,0,0,0,0,0,0,0,0,0,0,0,0,0,53610,10021.0,0,0,9,2,9,1,,6.0,60,A,Z,1,1,1,,5600.0,,9,0.275742,10021.0,3606.0,,AR,A60,NY,10021.0,NEW YORK,A60,,A,AR,AR,PC,O,AR,A,IN,,A60,A,,u,
18815,133096579,1996,198462,0,0,0,0,13835,0,0,418361,418361,616823,517059,4479,43800,0,85701,85320,180986,80841,0,0,0,0,0,0,0,0,0,0,0,0,0,367716,50645,0,,616823,A99,,E MONTE MOTION INC,,1170 BROADWAY STE 912,NEW YORK,NY,10001-7507,0.0,3,3.0,1200.0,198209.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,3.0,3.0,3.0,0,,0,,0,36061.0,5602.0,16.0,A,A99,,1997,0,0,530380,0,869138,0,0,532053,0,149,0,0,45000,0,-95285,99764,0,A99,,0,1401190,0,99428,27760,0,0,0,0,0,0,0,0,50645,0,616823,10001.0,0,0,1,1,1,1,,9.0,99,A,Z,1,1,1,,5600.0,,9,0.986176,10001.0,3606.0,,AR,A99,NY,10001.0,NEW YORK,A62,,A,AR,AR,PC,O,AR,A,IN,,A62,A,15401.0,3b,1998.0
18823,133098404,1996,8385,9508,0,0,1275,0,0,0,50889,50889,68782,29296,49580,0,0,63438,69550,18060,19970,0,0,0,0,0,0,0,0,0,0,0,0,35284,0,14150,180,,33498,A12,,OPERA INDEX INC,,459 ANSONA STA,NEW YORK,NY,10023-0000,0.0,3,3.0,2000.0,198202.0,1.0,,1.0,13.0,198312.0,199707,10.0,7,,90.0,995.0,0.0,B9710,,,IN,S,ZB,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A12,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45378,4202,0,A12,,0,0,0,0,0,0,0,0,0,0,0,1275,0,49434,0,33498,10023.0,0,0,1,1,1,1,,1.0,12,A,J,1,1,1,6,5600.0,A6AJ,10,0.75795,10023.0,3606.0,,AR,A12,NY,10023.0,NEW YORK,A12,60,A,AR,AR,PC,S,ZB,,IN,,A1260,A,0.0,3b,1998.0
18824,133098471,1996,167536,12968,0,0,995,31168,0,0,859353,859353,1039860,1037730,701678,77420,0,1634820,1577950,903914,876272,0,0,0,0,0,0,0,0,0,0,0,0,58684,752527,47102,0,,981173,A51,,URBANGLASS NEW YORK CONTEMPORARY GLASS CENTER INC,,647 FULTON ST,BROOKLYN,NY,11217-1112,0.0,3,3.0,2000.0,198303.0,1.0,,1.0,11.0,0.0,199706,10.0,6,,91.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,4.0,4.0,4.0,3.0,0,,0,,0,36047.0,5602.0,16.0,A,A51,,1997,0,0,1471290,33413,2505650,0,0,1564940,0,3116,0,0,344766,303825,730906,-56559,0,A51,,27331,4070590,0,222266,22926,0,0,0,0,0,0,995,0,105786,0,981173,11217.0,0,0,1,2,9,1,,5.0,51,A,Z,1,1,1,,5600.0,,7,0.486599,11217.0,3604.0,,AR,A40,NY,11217.0,BROOKLYN,A40,,A,AR,AR,PC,O,AR,A,IN,,A40,A,37409.0,3b,1998.0
18854,133104688,1997,631335,0,0,0,106031,0,0,0,193813,193813,825148,334882,5035420,13000,0,4594240,5082150,49086,46738,0,0,0,0,0,0,0,0,0,0,0,0,0,87782,0,0,,825148,A80,,NEW YORK CITY HISTORIC PROPERTIES FUND INC,,141 FIFTH AVE,NEW YORK,NY,10010-7105,0.0,3,3.0,1000.0,198304.0,1.0,,1.0,13.0,0.0,199712,10.0,12,,921.0,379.0,0.0,B9710,,,IN,O,AR,A,PC,5.0,3.0,2.0,3.0,0,,0,,0,36061.0,5602.0,15.0,A,A80,,1997,0,0,1875220,0,185641,0,0,2158110,0,282895,0,0,0,0,4545150,490266,0,A80,,0,2343750,0,144979,0,0,0,0,0,0,0,106031,0,0,0,825148,10010.0,0,0,1,1,1,1,,8.0,80,A,Z,1,1,1,,5600.0,,7,0.711462,10010.0,3606.0,,AR,A80,NY,10010.0,NEW YORK,A80,,A,AR,AR,PC,O,AR,A,IN,,A80,A,539571.0,3b,1998.0
18858,133106766,1996,255087,0,0,0,261,234590,0,0,261,261,255348,454033,63446,0,0,262131,63446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,255348,A50,,INTERNATIONAL SOCIETY FOR YAD VASHEM INC,,500 5TH AVE 1600,NEW YORK,NY,10110-1699,0.0,3,3.0,1000.0,198208.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,62.0,63.0,124.0,B9710,,,IN,O,AR,A,PC,1.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,15.0,A,A50,,1996,0,0,1496230,0,0,0,0,1497980,0,1743,0,0,0,0,262131,-198685,0,A50,,0,1497980,0,0,125,0,0,0,0,0,0,261,0,0,0,255348,10110.0,0,0,1,1,9,1,,5.0,50,A,Z,1,1,1,,5600.0,,9,0.5532279999999999,10110.0,3606.0,,AR,A11,NY,10110.0,NEW YORK,A70,,A,AR,AR,PC,O,AR,A,IN,,A70,A,0.0,4,2006.0
18859,133106768,1996,2637790,0,599052,549625,145204,598768,0,0,744256,194631,3382050,1118670,5209340,0,399517,3701230,5274720,216405,65375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2832430,A84,,AMERICAN SOCIETY FOR YAD VASHEM INC,,500 5TH AVE 1600,NEW YORK,NY,10110-1699,0.0,3,2.0,1000.0,198211.0,1.0,,1.0,13.0,0.0,199612,10.0,12,,62.0,63.0,124.0,B9710,,,IN,O,AR,A,PC,5.0,4.0,4.0,4.0,0,,0,,0,36061.0,5602.0,15.0,A,A84,,1996,0,0,6945820,0,0,0,0,7319050,0,373229,0,0,0,0,3484820,1713750,0,A84,,10766,7319050,0,119431,11600,0,0,0,0,0,49427,137514,7690,0,0,2832430,10110.0,0,0,9,1,1,1,,8.0,84,A,Z,1,1,1,,5600.0,,9,0.575177,10110.0,3606.0,,AR,A80,NY,10110.0,NEW YORK,A80,,A,AR,AR,PC,O,AR,A,IN,,A80,A,0.0,1d,2097.0
18860,133106816,1996,1040,0,0,0,247,0,0,0,66694,66694,67734,80518,48546,0,0,61330,49266,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,66447,0,0,,67734,A03,,PAPAGENO SOCIETY,% DANIEL EPSTEIN,235 W 76TH ST,NEW YORK,NY,10023-8210,0.0,3,3.0,1000.0,198203.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,349.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,16.0,A,A03,,1997,0,0,12205,0,297626,0,0,14030,0,1825,0,0,0,0,61330,-12784,0,A03,,0,311656,247,0,0,0,0,0,0,0,0,0,0,0,0,67734,10023.0,0,0,1,1,9,1,,0.0,03,A,C,1,1,1,9,5600.0,A99C,9,0.21619899999999997,10023.0,3606.0,,AR,A03,NY,10023.0,NEW YORK,A03,60,A,AR,AR,PC,O,AR,A,IN,,A0360,A,0.0,6,2001.0
18862,133107679,1996,240643,0,0,0,21366,0,0,0,470366,470366,711009,747547,590528,0,0,734483,758043,159818,167515,0,0,0,0,0,0,0,0,0,0,0,0,0,445290,0,2618,,711009,A70,A77Z,SCHOOL OF PRACTICAL PHILOSOPHY,,12 E 79TH ST,NEW YORK,NY,10021-0106,0.0,3,3.0,1000.0,198207.0,1.0,,5.0,13.0,0.0,199708,10.0,8,,30.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,3.0,3.0,3.0,3.0,0,,0,,0,36061.0,5602.0,11.0,A,A70,,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574665,-36538,1092,A70,,52401,0,-183,54200,4496,1092,0,0,0,0,0,6430,15119,0,0,711009,10021.0,0,0,1,2,9,1,,7.0,70,A,Z,1,1,1,,5600.0,,2,0.12873800000000002,10021.0,3606.0,,AR,A70,NY,10021.0,NEW YORK,A70,,A,AR,AR,PC,O,AR,A,IN,,A70,A,0.0,3b,1998.0
18865,133108424,1996,618550,0,0,0,10931,0,0,0,211254,211254,829804,828598,345886,0,0,344680,345886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200323,0,0,,829804,A33,,FOUNDATION FOR CULTURAL REVIEW INC,,850 SEVENTH AVE RM 503,NEW YORK,NY,10019-5279,0.0,3,3.0,2000.0,198203.0,1.0,,1.0,13.0,0.0,199706,10.0,6,,120.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,3.0,3.0,3.0,0,,0,,0,36061.0,5602.0,15.0,A,A33,,1997,0,0,2275610,0,797324,0,0,2313960,0,38354,0,0,0,0,344680,1206,0,A33,,0,3111280,0,301250,19972,0,0,0,0,0,0,10549,382,0,0,829804,10019.0,0,0,1,1,1,1,,3.0,33,A,Z,1,1,1,,5600.0,A33Z,7,0.769261,10019.0,3606.0,,AR,A33,NY,10019.0,NEW YORK,A33,,A,AR,AR,PC,O,AR,A,IN,,A33,A,0.0,3b,1998.0
18867,133109381,1996,41663,0,0,0,0,0,0,0,76453,76453,118116,175646,104331,34452,0,184558,104331,22697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53855,0,22598,,118116,A62,,DANCE CONTINUUM INC,% DOWNTOWN ART,280 BROADWAY RM 412,NEW YORK,NY,10007-1896,0.0,3,3.0,1000.0,1987.0,1.0,,1.0,16.0,0.0,199706,10.0,6,,90.0,0.0,0.0,ALM97,1992.0,,IN,O,AR,A,PC,2.0,2.0,2.0,2.0,0,,0,,0,36061.0,5602.0,16.0,A,A62,,1997,0,0,459082,0,578677,0,0,459082,0,0,0,0,0,0,161861,-57530,0,A62,,0,1037760,0,58186,12930,0,0,0,0,0,0,0,0,0,0,118116,10007.0,0,0,9,1,9,1,,6.0,62,A,Z,1,1,1,,5600.0,,7,0.42037700000000006,10007.0,3606.0,,AR,A62,NY,10007.0,NEW YORK,A62,,A,AR,AR,PC,O,AR,A,IN,,A62,A,24005.0,3b,1998.0
18875,133111859,1997,21815,0,0,0,0,0,0,0,10745,10745,32560,34221,-7631,0,0,687,733,6657,8364,0,0,0,0,0,0,0,0,0,0,0,0,0,10745,0,0,,32560,A23,,INSTITUTO ARTE TEATRAL INTERNACIONAL INC,,20 W 72ND ST 808,NEW YORK,NY,10023-4100,0.0,3,3.0,1000.0,198204.0,1.0,,1.0,13.0,0.0,199806,10.0,6,,90.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,1.0,1.0,1.0,1.0,0,,0,,0,36061.0,5602.0,9.0,A,A23,,1998,0,0,69325,0,36589,0,0,69325,0,0,0,0,0,0,-5970,-1661,0,A23,,0,105914,0,0,0,0,0,0,0,0,0,0,0,0,0,32560,10023.0,0,0,.,9,9,9,,2.0,23,A,Z,1,1,1,,5600.0,,7,0.105511,10023.0,3606.0,,AR,A65,NY,10023.0,NEW YORK,A65,,A,AR,AR,U,O,AR,A,IN,,A65,A,0.0,3b,1999.0
18878,133111920,1996,12050,21885,7520,5851,39,0,0,0,40973,35122,74908,106626,242902,0,0,293971,287983,13500,45081,242902,0,0,0,0,0,0,0,0,0,0,0,0,33414,0,0,,69057,A50,,OCEAN LINER MUSEUM,% CHRISTIES,730 FIFTH AVE,NEW YORK,NY,10019-4105,0.0,3,3.0,1000.0,198308.0,1.0,,1.0,13.0,0.0,199709,10.0,9,,60.0,0.0,0.0,B9710,,,IN,O,AR,A,PC,2.0,1.0,2.0,1.0,0,,0,,0,36061.0,5602.0,15.0,A,A50,,1997,0,0,0,0,0,0,0,0,0,0,0,0,13500,45081,280471,-37569,0,A50,,0,0,39,0,0,0,280471,0,0,0,1669,0,0,0,0,69057,10019.0,0,0,1,1,9,1,,5.0,50,A,Z,1,1,1,,5600.0,,7,0.5737770000000001,10019.0,3606.0,,AR,A54,NY,10019.0,NEW YORK,A50,,A,AR,AR,PC,O,AR,A,IN,,A50,A,0.0,3b,1998.0
