,CODE990,EIN,FisYr,STYEAR,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2CASHBV,P2MORTG
6131,3,133410749,1994,1993,9,8,119,2701591,6797,568355,1483094,0,0,1700128,417434,1347902,6459965,8770601,-2310636,8861138,1057732,10577,0,112750590,0,0,0,0,596100,97604293,0,3600075,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,ANDY WARHOL FND VISUAL ARTS,NEW YORK,NY,10012-0000,Z,Z99,0.32061100000000003,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,198801.0,199404,199404,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,4,91.0,0.0,65 BLEEKER ST 7TH FLR,3.0,0.0,1000.0,% GOTTFRIED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
6176,3,133429334,1993,1992,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BALLET WHO,NEW YORK,NY,10028-4516,Z,Z99,0.811608,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,4.0,,198801.0,199304,199304,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,4,0.0,0.0,412 E 83RD STREET 2B,3.0,0.0,1200.0,,1.0,13.0,0.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A63,A,,
6242,3,133442712,1993,1993,4,4,122,170307,0,0,0,0,0,1043,0,0,171350,57353,113997,0,0,0,0,201579,0,0,0,0,1878,201579,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,OUTSIDE IN JULY,NEW YORK,NY,10019-3700,A,A31,0.20938099999999998,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,198810.0,199312,199312,NY,10019.0,NEW YORK,PF,O,AR,A,IN,,12,0.0,0.0,1285 AVE OF AMERICAS,3.0,0.0,1000.0,% J L ROSENHOUSE CPA INC,1.0,13.0,1.0,0.0,1.0,GARRISON,A,AR,AR,AR,3.0,,,,,,,A31,A,,
6244,3,133442953,1994,1994,3,4,121,115495,294,0,0,0,0,0,0,0,115789,117654,-1865,0,294,6,294,34111,0,0,0,0,0,34111,283,289,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,VIDEO INFORMATION NETWORK,NEW YORK,NY,10024-3105,A,A31,0.711609,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,198802.0,199412,199412,NY,10024.0,NEW YORK,PF,O,AR,A,IN,,12,0.0,0.0,145 W 86TH ST APT 3A,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A31,A,,
6263,3,133447662,1994,1994,1,1,90,35,0,0,0,0,0,0,0,0,35,681,-646,0,0,0,0,3130,0,0,0,0,8000,3130,170,170,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CNCL LIVING MUSIC,NEW YORK,NY,10036-1308,Z,Z99,0.448039,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,198808.0,199412,199412,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,322 W 48TH ST,3.0,0.0,1000.0,% LOCAL 802 AF OF MUSICIANS LOCAL,1.0,13.0,1.0,0.0,1.0,802,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
6295,2,133458208,1994,1993,8,8,0,1300000,0,758805,575220,0,0,3906,0,700000,2637931,800256,1837675,700000,1275740,12757,1237675,17224479,0,16328973,0,16328973,1846157,17022306,0,794466,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DAHESH MUS,NEW YORK,NY,10017-1024,Z,Z99,0.8695860000000001,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,3.0,,198807.0,199405,199405,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,5,0.0,0.0,601 5TH AVENUE 2ND FLOOR,3.0,0.0,5000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
6296,3,133458227,1992,1992,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ACME PRODUCTIONS,NEW YORK,NY,10040-2406,Z,Z99,0.308636,36061.0,10040.0,10040.0,5602.0,5600.0,36061.0,4.0,,198807.0,199212,199212,NY,10040.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,4489 BROADWAY APT 3-G,3.0,0.0,1000.0,,1.0,13.0,0.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A60,A,,
6312,3,133465520,1994,1994,0,0,602,0,0,0,0,0,0,0,0,5094,0,5313,-5313,5313,0,0,0,0,0,0,0,0,0,0,0,245,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SOUTHERN AFRICAN ADVANCED EDUC & TRAINI,NEW YORK,NY,10112-0002,Z,Z99,0.21386799999999997,36061.0,10112.0,10112.0,5602.0,5600.0,36061.0,4.0,,8810.0,199412,199412,NY,10112.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,30 ROCKEFELLER PLAZA ROOM 3500,3.0,,2000.0,,,,,,,NG PROJECT,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
6322,3,133469715,1994,1994,1,1,90,0,15,0,0,0,0,0,0,0,15,0,15,0,15,0,0,638,0,0,0,0,0,638,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,HARPSICHORD SOC,NEW YORK,NY,10010-2023,Z,Z99,0.5254810000000001,36061.0,10010.0,10010.0,5602.0,5600.0,36061.0,4.0,,8902.0,199412,199412,NY,10010.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,22 WEST 26TH STREET,3.0,0.0,1000.0,% ANN BURACK-WEISS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
6343,3,133476571,1994,1993,1,1,122,3975,0,0,0,0,0,0,0,0,3975,4922,-947,0,0,0,0,1051,0,0,0,0,0,1051,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ETHNOLOGY CINEMA PROJECT,NEW YORK,NY,10014-5207,Z,Z99,0.670816,36061.0,10014.0,10014.0,5602.0,5600.0,36061.0,4.0,,8904.0,199409,199409,NY,10014.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,30 BANK ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
6360,3,133483365,1993,1993,0,1,602,0,40,0,0,0,0,0,0,5206,40,5206,-5166,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ANTONIA MASTROCRISTINO SIRENA CULTURAL FND,NEW YORK,NY,10028-0135,Z,Z99,0.380249,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,,,,199312,199312,NY,10028.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1220,A,,
6369,3,133486646,1993,1993,4,3,123,30000,2560,0,0,0,0,0,0,5000,32560,5000,27560,5000,2560,51,2560,130346,0,0,0,0,0,130346,0,427,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,RONALD WILFORD FND CONDUCTORS,NEW YORK,NY,10019-2201,A,A60,0.822076,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,198906.0,199312,199312,NY,10019.0,NEW YORK,PF,O,AR,A,IN,,12,0.0,0.0,165 W 57TH ST,3.0,0.0,1000.0,US TRUST CO OF NY,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A60,A,,
6370,3,133487704,1994,1994,0,0,602,0,0,0,0,0,0,0,0,0,0,2167,-2167,2167,0,0,0,0,0,0,0,0,34351,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUSIC PROJECT,NEW YORK,NY,10021-1202,Z,Z99,0.0686614,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,8907.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,226 E 79TH ST,3.0,0.0,1000.0,% ILANA VERED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
6402,3,133498740,1993,1993,0,0,90,0,0,0,0,0,0,0,0,4280,0,6047,-6047,6047,0,0,0,0,0,0,0,0,0,0,0,149,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SARAH GAMBLE DANCE GROUP,NEW YORK,NY,10011-6804,Z,Z99,0.562079,36061.0,10011.0,10011.0,5602.0,5600.0,36061.0,,,,199312,199312,NY,10011.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A62,A,,
6447,3,133516218,1992,1992,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BLEECKER STREET FILMS,NEW YORK,NY,10014-4108,Z,Z99,0.27443,36061.0,10014.0,10014.0,5602.0,5600.0,36061.0,4.0,,8909.0,199212,199212,NY,10014.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,285 BLEECKER ST 3,3.0,0.0,2000.0,,1.0,13.0,0.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
6471,3,133525999,1994,1994,5,3,200,0,14,42518,0,0,0,0,0,0,42532,2489,40043,45,42452,849,0,945503,0,0,540599,540599,0,904492,30457,31306,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,RALPH C MARCOVE INTL UNDRSTDG THROUGH ARTS & CRAFTS FNDTN,NEW YORK,NY,10021-4871,Z,Z99,0.284787,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198304.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,517 E 71ST ST,3.0,0.0,1000.0,MARCOVE,1.0,13.0,1.0,0.0,1.0,CRAFTS FNDTN INC,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
6482,3,133527874,1995,1994,1,4,432,125450,5,0,0,0,0,0,23302,14438,125455,125150,305,125150,5,0,5,1803,0,0,0,0,11023,1803,0,90,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FND ETHNIC UNDERSTANDING,NEW YORK,NY,10017-2415,Z,Z99,0.653554,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199010.0,199505,199505,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,5,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% C MARTIN GOLDENBERG,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,
6522,2,133536258,1994,1993,1,4,120,170488,0,0,0,0,0,18599,0,46500,189087,188407,680,188407,0,0,0,5642,0,0,0,0,0,5642,0,261,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DANCE INK,NEW YORK,NY,10023-1487,Z,Z99,0.8838469999999999,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,199005.0,199407,199407,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,7,0.0,0.0,PO BOX 20719 COLUMBUS CIR STA,3.0,0.0,1000.0,% PATRICIA TARR,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,
6536,2,133540880,1994,1993,6,4,602,264255,3153,0,8287,0,0,48020,0,0,323715,195803,127912,72847,11440,114,0,1398928,0,12250,0,12250,3445,1398928,0,5007,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUS AMER FINANCIAL HISTORY,NEW YORK,NY,10004-1703,Z,Z99,0.532746,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,3.0,,199201.0,199408,199408,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,8,0.0,0.0,26 BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
6538,3,133541596,1994,1994,6,6,561,816971,0,14427,239168,0,0,64228,0,99500,1006338,105479,900859,99500,1279619,25592,0,2337063,0,1703454,0,1703454,0,2337063,0,108308,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TIERNEY FAMILY FND,NEW YORK,NY,10128-0123,Z,Z99,0.848592,36061.0,10128.0,10128.0,5602.0,5600.0,36061.0,4.0,,198912.0,199412,199412,NY,10128.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,1133 FIFTH AVE,3.0,0.0,1000.0,% PAUL E TIERNEY JR,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
6574,3,133553683,1994,1994,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,OPERA DE PARIS FND,NEW YORK,NY,10022-4611,A,A99,0.8828309999999999,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,199004.0,199412,199412,NY,10022.0,NEW YORK,PF,O,AR,A,IN,,12,0.0,0.0,153 E 53RD ST,3.0,0.0,1000.0,% WILLKIE FARR & GALLAGHER,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A6A,A,,
6627,3,133572353,1994,1994,6,6,602,1108416,16955,0,0,0,0,0,140141,125833,1125371,902972,222399,879376,16955,170,0,2107115,0,0,0,0,1352152,2107115,0,37980,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,NAT VIDEO RESOURCES,NEW YORK,NY,10012-5802,Z,Z99,0.11657000000000001,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,199010.0,199412,199412,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,73 SPRING ST STE 606,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
6630,3,133573140,1994,1994,1,1,561,815,6,0,0,0,0,0,0,250,821,1467,-646,250,5,0,0,2940,0,0,0,0,0,515,0,23,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JACK GALEF ARTS FND,NEW YORK,NY,10016-4325,Z,Z99,0.24697,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,4.0,,199205.0,199412,199412,NY,10016.0,NEW YORK,PF,O,UN,Z,IN,,12,914.0,119.0,185 MADISON AVE STE 1600,3.0,0.0,2000.0,% DIAMOND & GOLOMB,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
6632,3,133574289,1994,1993,1,1,90,1550,0,149,0,0,0,0,0,500,1699,502,1197,0,147,1,147,7005,0,0,0,0,492,12867,0,493,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUSIC & DANCE FND,NEW YORK,NY,10016-5010,Z,Z99,0.5579029999999999,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,4.0,,199102.0,199406,199406,NY,10016.0,NEW YORK,PF,O,UN,Z,IN,,6,119.0,0.0,404 PARK AVE SOUTH - STE 700,3.0,0.0,1000.0,% R BELONSKY,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A62,A,,
6638,2,133576913,1993,1993,1,3,119,58300,0,0,0,0,0,0,0,0,58300,65123,-6823,65123,0,0,0,318,0,0,0,0,0,318,0,206,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ART KALEIDOSCOPE FND,NEW YORK,NY,10122-1899,Z,Z99,0.451175,36061.0,10122.0,10122.0,5602.0,5600.0,36061.0,3.0,,199205.0,199312,199312,NY,10122.0,NEW YORK,PF,O,UN,Z,IN,,12,91.0,0.0,322 8TH AVE 5TH FL,3.0,0.0,2000.0,% GOTTFRIED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
6672,3,133591637,1994,1994,4,4,90,270000,3529,2782,0,0,0,229,0,0,276540,252168,24372,247420,3205,64,6030,363780,0,0,0,0,0,363780,0,9650,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ROBERT CRAFT MUSIC FND,NEW YORK,NY,10021-8029,Z,Z99,0.16258599999999998,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,199012.0,199412,199412,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,119.0,0.0,667 MADISON AVE 20TH FLR,3.0,0.0,2000.0,% KELLEY DRYE & WARREN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
6678,3,133593706,1994,1994,4,4,602,0,6918,8875,72,0,0,0,0,37500,15865,38968,-23103,37500,14397,144,14325,341821,99824,0,0,99824,0,340591,0,17413,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BARBARA & HOWARD WISE ENDOWMENT ARTS,NEW YORK,NY,10011-7802,Z,Z99,0.44549300000000003,36061.0,10011.0,10011.0,5602.0,5600.0,36061.0,4.0,,199202.0,199412,199412,NY,10011.0,NEW YORK,PF,O,UN,Z,IN,,12,561.0,0.0,110 W 13TH ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,
6733,3,133614414,1994,1994,4,3,92,71050,15998,7480,470,0,0,0,0,14300,94998,15724,79274,13746,22054,221,23478,338889,0,0,0,0,2554,338889,0,14816,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ATHANASIADES CULTURAL FND,ASTORIA,NY,11103-3031,Z,Z99,0.17393599999999998,36081.0,11103.0,11103.0,5602.0,5600.0,36081.0,4.0,,199302.0,199412,199412,NY,11103.0,ASTORIA,PF,O,UN,Z,IN,,12,0.0,0.0,30 96 42ND ST,3.0,0.0,1000.0,,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1220,A,,
6734,2,133614971,1994,1993,7,7,123,4990000,0,7441,2580,0,0,0,0,9960,5000021,30964,4969057,29005,10021,100,10021,5591731,0,0,0,0,31,5591780,0,2946,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SOLOW ART & ARCHITECTURE FND,NEW YORK,NY,10019-2600,Z,Z99,0.947414,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,3.0,,199108.0,199411,199411,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,11,124.0,0.0,9 W 57TH ST,3.0,0.0,2000.0,SHELDON H SOLOW,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,
6750,3,133620909,1994,1993,7,7,602,0,6587,980428,356304,0,0,4299108,0,1029500,5642427,1276928,4365499,1222938,5588437,55884,0,7691095,2351654,2656329,632997,5640980,0,7658587,0,352550,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,AARON COPLAND FND MUSIC,NEW YORK,NY,10048-3998,Z,Z99,0.253569,36061.0,10048.0,10048.0,5602.0,5600.0,36061.0,4.0,,199108.0,199406,199406,NY,10048.0,NEW YORK,PF,O,UN,Z,IN,,6,119.0,0.0,200 PARK AVE,3.0,0.0,2000.0,% ELLIS J FREEDMAN,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
6758,2,133626727,1994,1994,5,4,123,185000,8324,0,0,0,0,0,0,66267,193324,79278,114046,0,8324,166,0,623749,0,0,0,0,0,623749,0,24751,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JOHN CONLEY FND ETHICS & PHILOSOPHY IN MEDICINE,STATEN ISLAND,NY,10304-1520,Z,Z99,0.531841,36085.0,10304.0,10304.0,5602.0,5600.0,36085.0,3.0,,199112.0,199412,199412,NY,10304.0,STATEN ISLAND,PF,O,UN,Z,IN,,12,162.0,0.0,211 CENTRAL PK W APT 1F,3.0,0.0,1000.0,% HARRY T FORLENZA TREASURER,1.0,13.0,1.0,0.0,1.0,N MEDICINE INC,Z,UN,UN,OT,3.0,,,,,,,A70,A,,
6832,3,133641609,1994,1994,3,1,321,0,407,0,0,0,0,0,0,2500,407,2730,-2323,2730,407,8,177,83567,0,0,0,0,0,384592,0,144,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ALEXANDER JEROME WILLOWS GREENBURGER MEM FIELDS,NEW YORK,NY,10003-4301,Z,Z99,0.301969,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,199302.0,199412,199412,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,349.0,0.0,55 FIFTH AVE,3.0,0.0,1000.0,% TIME EQUITIES INC,1.0,13.0,1.0,0.0,1.0,DS INC,Z,UN,UN,OT,3.0,,,,,,,A80,A,,
6852,3,133649656,1994,1993,1,1,119,3000,0,0,0,0,0,0,0,2460,3000,2900,100,2900,0,0,0,259,0,0,0,0,0,259,2900,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,IRVING CAESAR MUSIC CHILDREN FND,NEW YORK,NY,10022-6437,Z,Z99,0.855463,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,199308.0,199408,199408,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,8,561.0,149.0,429 E 52ND ST APT 31G,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,
6875,2,133666164,1993,1993,0,4,40,326939,0,0,0,0,0,0,0,0,326939,326939,0,326939,0,0,0,0,0,0,0,0,0,0,0,1342,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,VOLPI FND PERFORMING ARTS,NEW YORK,NY,10027-5011,Z,Z99,0.113776,36061.0,10027.0,10027.0,5602.0,5600.0,36061.0,3.0,,199208.0,199312,199312,NY,10027.0,NEW YORK,PF,O,UN,Z,IN,,12,149.0,0.0,919 3RD AVE,3.0,0.0,1000.0,% J DAVID JACOBS,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1260,A,,
6894,3,133674360,1994,1994,6,6,90,478029,4516,29734,423082,0,0,0,2734,0,935361,514814,420547,403854,455531,9111,35159,1411300,0,536217,0,536217,2315,1759617,0,33353,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CIVITELLA RANIERI FND,NEW YORK,NY,10016-0301,Z,Z99,0.987764,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,4.0,,199302.0,199412,199412,NY,10016.0,NEW YORK,PF,O,UN,Z,IN,,12,62.0,93.0,270 PARK AVE,3.0,0.0,1000.0,% GERALD E RUPP TTEE,1.0,13.0,1.0,0.0,2.0,,Z,UN,UN,OT,3.0,,,,,,,A20,A,,
6906,3,133680271,1994,1993,1,3,92,33549,443,0,0,0,0,1260,15000,0,35252,27754,7498,26119,68,0,0,7498,0,0,0,0,0,7498,0,1014,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUS VIEWS,NEW YORK,NY,10010-6723,Z,Z99,0.7229869999999999,36061.0,10010.0,10010.0,5602.0,5600.0,36061.0,4.0,,199301.0,199407,199407,NY,10010.0,NEW YORK,PF,O,UN,Z,IN,,7,0.0,0.0,2 PETER COOPER RD,3.0,0.0,1000.0,% LILA A SHERMAN,1.0,13.0,1.0,0.0,1.0,MUSEUM VIEWS,Z,UN,UN,OT,3.0,,,,,,,A50,A,,
6931,3,133690790,1994,1993,4,4,29,218750,1585,0,0,0,0,0,0,64000,220335,75673,144662,73124,0,0,0,145242,0,0,0,0,0,147791,0,945,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PRESERVATION FND,NEW YORK,NY,10022-4219,Z,Z99,0.541956,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,199308.0,199410,199410,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,10,560.0,602.0,545 MADISON AVE 801,3.0,0.0,1000.0,% JULIUS PAIGE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A82,A,,
7001,2,133719303,1995,1994,1,3,914,24000,0,0,0,0,0,4255,0,0,28255,24902,3353,24902,0,0,0,314,0,0,0,0,12625,314,0,25,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,KAWAMURA CULTURAL FND,NEW YORK,NY,10170-2199,A,A75,0.568659,36061.0,10170.0,10170.0,5602.0,5600.0,36061.0,3.0,,199504.0,199503,199503,NY,10170.0,NEW YORK,PF,O,AR,A,IN,,3,119.0,0.0,90 PARK AVE 17TH FLR,3.0,0.0,2000.0,KISO & TANAKA,1.0,13.0,1.0,0.0,1.0,,A,AR,AR,AR,3.0,,,,,,,A1220,A,,
7006,3,133721844,1994,1994,4,3,40,31500,1622,7484,1837,0,0,0,0,26390,42443,29710,12733,29710,10943,109,0,226410,0,113416,51259,164675,0,201273,0,10993,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MICHAEL HAUSMAN FILMHAUS FND,NEW YORK,NY,10003-9519,Z,Z99,0.500977,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,199311.0,199412,199412,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,736 BROADWAY,3.0,0.0,1000.0,% MICHAEL HAUSMAN,1.0,11.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,
