,KeyID,EIN,DocCD,TAXPER,NTEEIRS,EOSTATUS,STYEAR,RECCODE,ASS_CODE,INC_CODE,SUBSECCD,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P2TASFMV,P13UNDST,P10MIR,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,P1GRENTS,P1GOODS,P1INVRV,P1NADJRV,P1ADMEXP,P1INVEXP,P1CHAEXP,P1TINVEX,P1TADJEX,P2CASHBV,P2MORTG,P2EYOTIN,P2EYASST,P2MTGNTS,P3EYTFND,P6TEXCTX,P6TX511,P6TXSUBA,P6ESTTX,P6TXWTH,P6TXINV,P6TXWERR,P6TXPNLT,P6TXCRDT,P6TX4940,P10TASST,P11DISTR,P14NADJA,P14NADJB,P14NADJC,P14NADJD,P14TNADJ,P14QDISA,P14QDISB,P14QDISC,P14QDISD,P14TQDIS,P14ASVLA,P14ASVLB,P14ASVLC,P14ASVLD,P14TASVL,P14A4942,P14B4942,P14C4942,P14D4942,P14T4942,P14ENDWA,P14ENDWB,P14ENDWC,P14ENDWD,P14TENDW,P14TSUPA,P14TSUPB,P14TSUPC,P14TSUPD,P14TTSUP,P14PSUPA,P14PSUPB,P14PSUPC,P14PSUPD,P14TPSUP,P14GINVA,P14GINVB,P14GINVC,P14GINVD,P14TGINV,FISYR,NCCSKEY,NCCSKEY2,SOURCE,TFLD,P6TXRFD,ZIP5,NAME,CONTACT,ADDRESS,CITY,STATE,ZIP,GEN,AFCD,CLASSCD,RULEDATE,DEDUCTCD,FNDNCD,ACTIV1,ACTIV2,ACTIV3,ORGCD,FRCD,ACCPER,SEC_NAME,fincheckv,verfail,vMagP,verify,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,NteeFinal,NteeFinal1,FIPS,MSA_NECH,PMSA,LONGITUDE,LATITUDE,NAICS,VerifyBy
11243,13728,136121080,91,201212,A80,1.0,2012,N,,,3,0,2196,0,0,0,153,0,9500,2349,11215,-8866,9500,1574,0,234921,0,0,0,0,1,234921,2272,11788,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2349,0,1715,775,0,775,0,60663,0,0,234921,0,234921,16,0,0,76,0,0,0,0,0,16,239355,11772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136121080201212,1361210802012,NCCS_Form990PF_2012_Extract,-60,60,10016.0,NEWPORT FOLK FOUNDATION INC,BELDOCK LEVINE & HOFFMAN,99 PARK AVENUE,NEW YORK,NY,10016-1601,0.0,3.0,1.0,196406.0,1.0,4.0,119.0,59.0,927.0,1.0,1.0,12.0,,,,,,A24,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.55192,B,A24,A,36061.0,5602.0,5600.0,-73.97877199999999,40.751052,,
11324,13828,136133259,91,201212,,1.0,2012,N,,,3,0,9,0,0,0,0,0,0,9,1,9,0,9,9,2274,0,0,0,0,0,2274,111,111,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,9,9,1,1,0,1,1,2274,0,0,2274,0,2274,1,0,0,0,0,0,0,0,0,1,2270,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136133259201212,1361332592012,NCCS_Form990PF_2012_Extract,1,0,10017.0,IRISH EMIGRANT SOCIETY OF NEW YORK,,5 E 42ND ST,NEW YORK,NY,10017-6904,0.0,3.0,1.0,194503.0,1.0,4.0,602.0,0.0,0.0,1.0,1.0,12.0,,,,,,A23,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8153600000000001,C,A23,A,36061.0,5602.0,5600.0,-73.98079768,40.753575771,710000.0,
11325,13829,136133318,91,201212,,1.0,2012,N,,,3,0,2,0,0,0,0,0,1500,2,1650,-1647,1650,0,0,21650,0,0,0,0,0,21650,1066,1066,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,2,2,150,150,150,1650,1650,0,0,0,21650,0,21650,0,0,0,0,0,0,0,0,0,0,21650,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136133318201212,1361333182012,NCCS_Form990PF_2012_Extract,0,0,10021.0,GEORGE BARRY MALLON MEMORIAL CORP,JOHN E DONNELLY,250 E 73RD ST APT 12G,NEW YORK,NY,10021-4310,0.0,3.0,1.0,193902.0,1.0,4.0,999.0,0.0,0.0,5.0,1.0,12.0,,,,,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.18448,C,A80,A,36061.0,5602.0,5600.0,-73.95921361,40.770056271,712120.0,
11345,13862,136138268,91,201212,,1.0,2012,N,,,3,0,0,3128,-485,0,0,0,0,2643,5130,-2487,2299,1603,0,223500,0,0,0,0,0,190327,9326,9358,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,0,0,3128,0,5130,1525,2299,1525,0,8583,0,214917,190327,0,223500,32,0,0,0,0,32,0,0,0,32,190018,9326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136138268201212,1361382682012,NCCS_Form990PF_2012_Extract,0,0,10024.0,INSTITUTE OF ANDEAN RESEARCH INC,,15 W 77TH ST,NEW YORK,NY,10024-5153,0.0,3.0,2.0,194710.0,1.0,4.0,161.0,180.0,30.0,1.0,1.0,12.0,,,,,,A70,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.8376299999999999,A,A70,A,36061.0,5602.0,5600.0,-73.974238357,40.77962795,710000.0,
11351,13868,136139518,91,201212,,1.0,2012,N,,,3,4000,4,463547,-103407,0,1442582,234487,266250,1806726,1326571,480155,1026979,1678377,0,24937244,2013476,14595266,2834908,19443650,64430,26401692,374369,1151525,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,0,0,1906133,0,1060321,227756,762629,227756,0,553254,0,3701844,26401692,0,24872814,33568,0,0,34488,0,0,0,0,920,33568,23381215,1117957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136139518201212,1361395182012,NCCS_Form990PF_2012_Extract,-920,920,10003.0,KURT WEILL FOUNDATION FOR MUSIC,,7 EAST 20TH STREET 3RD FLR,NEW YORK,NY,10003-1106,0.0,3.0,1.0,196407.0,1.0,4.0,40.0,59.0,0.0,1.0,1.0,12.0,,,,,,A68,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.5032399999999999,A,A68,A,36061.0,5602.0,5600.0,-73.990211,40.73948789999999,711130.0,
11400,13925,136149781,91,201208,A60Z,1.0,2011,Y,,,3,10000,186,118138,-95756,0,0,0,221850,44472,307323,-262851,248800,71705,130228,4354466,0,315940,0,315940,25551,4452599,0,212058,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,11904,0,130228,130228,85473,58523,26950,58523,0,392202,0,3587643,4452599,0,4328915,717,0,0,0,0,0,0,0,0,717,4305744,211341,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136149781201208,1361497812012,NCCS_Form990PF_2012_Extract,717,0,10001.0,PERFORMING ARTS FOUNDATION INC,SPITZ & GREENSTEIN CPSS,494 8TH AVE STE 806,NEW YORK,NY,10001-2542,0.0,3.0,1.0,196411.0,1.0,3.0,90.0,0.0,0.0,1.0,1.0,8.0,,,,,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.59408,A,A1260,A,36061.0,5602.0,5600.0,-73.99322592,40.75284612,813219.0,
11559,14104,136161674,91,201212,,1.0,2012,N,,,3,462253,0,0,0,19230,0,141044,3000,481483,522269,-40786,3000,0,4227,906034,0,0,0,0,1410,906034,0,8329,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,3870,0,19230,519269,0,0,0,15003,68869,0,0,906034,0,904624,0,0,0,0,0,0,0,0,0,0,169120,0,4227,4919,0,0,9146,3000,448153,477457,444740,1373350,906034,945834,964314,1050360,3866542,906034,945834,964314,1050360,3866542,0,0,0,0,0,462253,421161,367827,409162,1660403,22253,21161,7702,9162,60278,1198,1891,2052,4615,9756,2012,136161674201212,1361616742012,NCCS_Form990PF_2012_Extract,0,0,10025.0,NICHOLAS ROERICH MUSEUM,,319 W 107TH ST,NEW YORK,NY,10025-2715,0.0,3.0,1.0,199404.0,1.0,4.0,60.0,0.0,0.0,1.0,1.0,12.0,,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.74857,A,A50,A,36061.0,5602.0,5600.0,-73.96841776699999,40.802513486,712110.0,
11613,14165,136163969,91,201212,,1.0,2012,N,,,3,25332,0,12609,0,0,4242,0,27365,42183,40235,1948,27365,12609,3981,470442,0,410000,0,410000,1,490070,0,23244,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,12609,16851,12870,0,0,0,12870,38602,0,0,490070,0,470442,252,0,0,0,0,260,0,0,8,252,471965,22992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136163969201212,1361639692012,NCCS_Form990PF_2012_Extract,-8,8,10128.0,SOCIETY OF DAUGHTERS OF HOLLAND DAMES,MARY PARK,108 EAST 91ST STREET,NEW YORK,NY,10128-1657,0.0,3.0,1.0,194211.0,1.0,4.0,59.0,602.0,0.0,5.0,1.0,12.0,,,,,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.04816,C,A80,A,36061.0,5602.0,5600.0,,,712120.0,
11647,14204,136168757,91,201212,,1.0,2012,Y,,,3,11000,0,0,0,0,0,0,0,11000,372,10628,372,0,0,109452,0,0,0,0,0,109452,0,57,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,372,0,372,0,0,1146,0,0,109452,0,109452,0,0,0,0,0,0,0,0,0,0,1167,0,1,0,0,0,1,372,171,0,563,1106,1,0,0,0,1,0,0,0,0,0,38,42,39,25,144,0,0,1000,0,1000,0,0,1000,0,1000,0,0,0,0,0,2012,136168757201212,1361687572012,NCCS_Form990PF_2012_Extract,0,0,10038.0,NEAR EASTERN ART RESEARCH CENTER INC,MCGRATH DOYLE & PHAIR,150 BROADWAY RM 1915,NEW YORK,NY,10038-4361,0.0,3.0,2.0,196501.0,1.0,3.0,161.0,180.0,119.0,1.0,1.0,12.0,,,,,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.78215,B,A20,A,36061.0,5602.0,5600.0,-74.010373961,40.709725246,710000.0,
11648,14207,136168827,91,201212,A20,1.0,2012,Y,,,3,1000,0,2222,0,0,4677,15600,0,7899,122346,-114447,73159,0,0,2531452,0,0,0,0,1,2232070,0,88386,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,6899,6899,122346,46795,73159,46795,45822,1212736,0,0,2232070,0,2531452,0,0,0,92,0,0,0,0,92,0,1794633,0,1,0,0,0,1,110309,69960,73676,54642,308587,2234570,2373735,1871116,2145734,8625155,0,0,0,0,0,58924,49321,43659,47507,199411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136168827201212,1361688272012,NCCS_Form990PF_2012_Extract,-92,92,10016.0,EDWARD ALBEE FOUNDATION INC,A KOZAK CO,192 LEXINGTON AVE RM 1100,NEW YORK,NY,10016-6823,0.0,3.0,1.0,196412.0,1.0,3.0,602.0,0.0,0.0,1.0,1.0,12.0,,,,,,A20,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.48854,B,A20,A,36061.0,5602.0,5600.0,-73.9800645,40.74727,710000.0,
12007,14667,136814491,91,201207,,1.0,2011,N,,,3,0,0,977052,772922,0,0,144437,1510000,1749974,2018971,-268997,1870011,1641572,0,26100640,587801,18675576,6270734,25534111,0,32046398,0,1565949,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,1754032,0,508971,112460,360011,112460,0,289,0,0,32046398,0,26100640,16416,0,0,47551,0,0,0,0,31135,16416,31795915,1549533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136814491201207,1368144912012,NCCS_Form990PF_2012_Extract,-31135,31135,10017.0,FRANCES & EDWIN CUMMINGS MEMORIAL 578956,THE BANK OF NEW YORK TAX DEPT,501 5TH AVE RM 708,NEW YORK,NY,10017-7843,0.0,3.0,1.0,198403.0,1.0,4.0,602.0,0.0,0.0,6.0,1.0,7.0,,,,,,A80,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.27796,C,A80,A,36061.0,5602.0,5600.0,-73.9810538,40.7536611,712120.0,
12093,14774,136919198,91,201212,,1.0,2012,N,,,3,0,0,133605,293914,0,0,55330,296526,427519,359012,68507,324571,398463,0,5615650,0,3641408,1490192,5131600,1,6033847,0,292894,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,0,427519,0,62486,29056,28045,29056,0,0,0,267183,6033847,0,5615650,7969,0,0,5000,0,0,0,0,0,7969,5947085,284925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,136919198201212,1369191982012,NCCS_Form990PF_2012_Extract,2969,0,10008.0,D B MELVILLE TRUST FOR MUSUEMS STONYBROOK 2,DEUTSCHE BANK TRUST CO NY 235927,PO BOX 1297,NEW YORK,NY,10008-1297,0.0,3.0,1.0,198912.0,1.0,4.0,602.0,0.0,0.0,2.0,1.0,12.0,FBO MUSEUMS STONY BROOK 2,,,,,A115,A,PF,S,ZA,A,A,IN,,1,AR,AR,AR,0.33281,B,A1154,A,36061.0,5602.0,5600.0,-74.0065,40.7144,813219.0,
12263,14968,137061011,91,201206,A50I,1.0,2011,Y,,,3,10000,0,0,0,0,0,0,0,10000,7113,2887,5164,0,0,592032,0,0,0,0,0,580094,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,7113,1949,5164,1949,5164,5094,0,0,580094,0,592032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5103,2672,17758,4924,30457,579936,605158,593229,438882,2217205,575000,605000,593000,425000,2198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,137061011201206,1370610112012,NCCS_Form990PF_2012_Extract,0,0,10018.0,WEISS MEMORIAL FOUNDATION TR,JOSEPH MICHAELS IV,1359 BROADWAY RM 600,NEW YORK,NY,10018-7160,0.0,3.0,1.0,199701.0,1.0,3.0,60.0,0.0,0.0,2.0,1.0,6.0,WEISS HERBERT TTEE,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.43755,B,A50,A,36061.0,5602.0,5600.0,-73.987695367,40.751850633000004,712110.0,
12296,15005,137082559,91,201212,T30J,1.0,2012,N,,,3,0,0,1,0,0,0,216,0,1,346,-345,298,0,0,17117,0,0,0,0,1,17117,0,850,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,1,0,346,48,298,48,0,0,0,0,17117,0,17117,0,0,0,0,0,0,0,0,0,0,17260,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,137082559201212,1370825592012,NCCS_Form990PF_2012_Extract,0,0,10020.0,NEW YORK FINE ARTS SUPPORT TR,ROCKEFELLER TRUST COMPANY N,10 ROCKEFELLER PLZ FL 3,NEW YORK,NY,10020-1903,0.0,3.0,1.0,199603.0,1.0,4.0,602.0,0.0,0.0,2.0,1.0,12.0,,,,,,A194,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.14394,A,A1940,A,36061.0,5602.0,5600.0,-73.979234022,40.758208114,813219.0,
12342,15059,137101223,91,201212,A45Z,1.0,2012,Y,,,3,417909,0,0,0,0,0,0,0,417909,261405,156504,260892,0,0,6767263,0,0,0,0,84528,13147743,0,3170,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,261405,0,260892,0,513,57344,0,0,13147743,0,6682735,0,0,0,20,0,0,0,0,20,0,64368,0,1,0,0,1847,1847,260892,190558,191510,193249,836209,1,0,0,6490821,6490821,0,0,0,6490821,6490821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,137101223201212,1371012232012,NCCS_Form990PF_2012_Extract,-20,20,10012.0,KIKI KOGELNIK FOUNDATION,STEPHEN KILDUNNE,330 LAFAYETTE STREET NO 7,NEW YORK,NY,10012-2739,0.0,3.0,2.0,199705.0,1.0,3.0,91.0,0.0,0.0,2.0,1.0,12.0,,GS,,,,A40,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.90169,B,A40,A,36061.0,5602.0,5600.0,-73.994866231,40.726170345999996,710000.0,amyB
12472,15203,137147740,91,201212,A51Z,1.0,2012,Y,,,3,0,2923,0,0,137900,1737,0,0,142560,140521,2039,110894,0,2039,8735313,0,0,0,0,1,8735313,0,50564,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,7600,0,2039,140521,0,110894,0,0,0,0,0,8735313,0,8735313,0,0,0,0,0,0,0,0,0,0,1026686,0,2039,47147,15069,9386,73641,116807,122454,109144,109700,458105,8735313,8733274,8452384,8539629,34460600,0,0,0,0,0,33709,31431,21803,21058,108001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,137147740201212,1371477402012,NCCS_Form990PF_2012_Extract,0,0,10016.0,LEON POLK SMITH FOUNDATION TR,DAVIS & GRUTMANLLP,C/O DAVIS GRUTMAN LLP,NEW YORK,NY,10016-0000,0.0,3.0,1.0,199807.0,1.0,3.0,91.0,0.0,0.0,2.0,1.0,12.0,MARSH GORDON ET AL TTEE,,,,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9068,B,A51,A,36061.0,5602.0,5600.0,-73.9800645,40.74727,712110.0,
12635,15392,137252069,91,201212,A12,1.0,2012,Y,,,3,602,16048,0,-2488,0,3874,13800,40550,18036,63936,-45900,63936,11062,16048,464885,31244,151660,252379,435283,1,464886,0,22896,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,16048,16048,23386,4986,23386,4986,0,14038,0,0,464886,0,464885,111,0,0,0,0,250,0,0,139,111,464885,0,16048,19407,21539,21605,78599,63936,65989,71723,85039,286687,1,0,0,0,1,0,0,0,0,0,15264,16736,18226,19537,69763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,137252069201212,1372520692012,NCCS_Form990PF_2012_Extract,-139,139,10038.0,ANNA SOSENKO ASSIST TRUST,,59 JOHN ST APT 9B,NEW YORK,NY,10038-3749,0.0,3.0,2.0,200205.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,12.0,,,,,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.68295,B,A12,A,36061.0,5602.0,5600.0,-75.18475529999999,39.9445968,813219.0,
12701,15469,137325028,91,201212,A51,1.0,2012,Y,,,3,800000,118,0,0,0,1200,0,0,801318,786079,15239,671775,79,0,11919995,0,0,0,0,3358,11919995,0,2668,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,118,0,786079,39,671775,39,0,0,0,0,11919995,0,11916637,1,0,0,1255,0,0,0,0,1254,1,54171,0,1,0,0,0,1,671775,496440,465684,530785,2164684,12804094,12762467,12637313,11453627,49657501,12804094,12697436,12607776,11344849,49454155,1779,991,1271,2492,6533,801200,550000,554982,956125,2862307,1200,0,4982,6125,12307,118,0,267,6762,7147,2012,137325028201212,1373250282012,NCCS_Form990PF_2012_Extract,-1254,1254,10171.0,FISHER LANDAU CENTER FOR ART,FISHER BROTHERS,299 PARK AVE FL 42,NEW YORK,NY,10171-4299,0.0,3.0,2.0,200210.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,12.0,LANDAU EMILY FISHER TTEE,,,,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.73175,B,A51,A,36061.0,5602.0,5600.0,-73.9762,40.7588,712110.0,
13679,16638,161632202,91,201212,A12,1.0,2012,N,,,3,0,14,107385,293247,0,0,55000,259275,400646,608507,-207861,543847,335986,0,5482701,0,3102514,1745792,4848306,0,5597733,0,274561,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,400646,0,349232,64660,284572,64660,0,64084,0,20394,5597733,0,5482701,6720,0,0,0,0,0,0,101,0,6720,5374849,267841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,161632202201212,1616322022012,NCCS_Form990PF_2012_Extract,6821,0,10152.0,THE LAURA PELS INTERNATIONAL FOUNDATION FOR THEATER,MBAF-ERE J BRISTER,375 PARK AVE STE 2702,NEW YORK,NY,10152-0000,0.0,3.0,1.0,200401.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A126,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.22962,B,A1265,A,36061.0,5602.0,5600.0,-73.964479,40.75505,813219.0,
14349,17465,200124950,91,201212,A33,1.0,2012,N,,,3,245000,374,0,0,0,0,0,24160,245374,55452,189922,24160,374,374,448873,0,0,0,0,3007,448873,0,12901,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,374,374,31292,0,0,0,0,448873,0,0,448873,0,445866,4,0,0,0,0,0,0,0,0,4,261953,12897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,200124950201212,2001249502012,NCCS_Form990PF_2012_Extract,4,0,10001.0,32BNY INC,HU LI,450 W 31ST ST FL 11,NEW YORK,NY,10001-4608,0.0,3.0,1.0,200702.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A33,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.69601,B,A33,A,36061.0,5602.0,5600.0,-73.999234,40.752226,511100.0,
14808,17963,200487898,91,201212,A51,1.0,2012,N,,,3,18500,0,0,0,0,0,0,1775,18500,16989,1511,1775,0,0,367484,0,0,0,0,1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,15214,0,0,0,0,3169,0,0,1,0,367484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,200487898201212,2004878982012,NCCS_Form990PF_2012_Extract,0,0,10011.0,MALLOY FAM FOUNDATION INC,DAN MALLOY,650 SIXTH AVENUE,NEW YORK,NY,10011-2013,0.0,3.0,1.0,200409.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A51,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.42468,B,A51,A,36061.0,5602.0,5600.0,-73.998616,40.721747,712110.0,
15444,18661,201193209,91,201305,A05,1.0,2012,N,,,3,4000,0,0,0,0,0,0,0,4000,0,4000,0,0,0,4109,0,0,0,0,1,4109,0,22,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,0,0,0,0,0,4109,0,0,4109,0,4109,0,0,0,0,0,0,0,0,0,0,443,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,201193209201305,2011932092013,NCCS_Form990PF_2012_Extract,0,0,10003.0,FORSYTHE FOUNDATION,COBLENCE & ASSOCIATES,200 PARK AVE S STE 511,NEW YORK,NY,10003-1525,0.0,3.0,1.0,200510.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,,,,,,A05,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.9540200000000001,B,A05,A,36061.0,5602.0,5600.0,-73.9891683,40.73698677,541720.0,
15627,18855,201389368,91,201212,A50,1.0,2012,Y,,,3,130000,1,0,0,0,0,12000,0,130001,126035,3966,0,0,0,28441,0,0,0,0,6249,28441,928,928,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,126035,0,0,0,0,18194,0,0,28441,0,22192,0,0,0,0,0,0,0,0,0,0,18849,928,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,201389368201212,2013893682012,NCCS_Form990PF_2012_Extract,0,0,10022.0,LINK OF TIMES FOUNDATION USA INC,VLADIMIR VORONTCHENKO,900 THIRD AVE,NEW YORK,NY,10022-5729,0.0,3.0,1.0,200702.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A50,A,PF,O,AR,A,A,IN,,1,AR,AR,AR,0.52568,B,A50,A,36061.0,5602.0,5600.0,-73.971518,40.75817,712110.0,
15938,19194,201766629,91,201212,A12,1.0,2012,N,,,3,0,0,37215,44057,0,0,0,82400,81272,91921,-10649,83979,73330,0,1466341,0,0,0,0,1,1466341,1956,71970,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,0,81272,0,9521,7942,1579,7942,0,19373,0,1442608,1466341,0,1466341,1467,0,0,1768,0,0,0,0,301,1467,1461320,70503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,201766629201212,2017666292012,NCCS_Form990PF_2012_Extract,-301,301,10021.0,THE MARIO MODESTINI FOUNDATION,CHERYL ROSSUM,C/O CHERYL ROSSUM 310 EAST 75TH,NEW YORK,NY,10021-0000,0.0,3.0,1.0,200507.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,12.0,,,,,,A12,A,PF,S,ZB,A,A,IN,,1,AR,AR,AR,0.99651,B,A12,A,36061.0,5602.0,5600.0,-73.956855278,40.770734082,813219.0,
