,EIN,EOY,TAXPER,STYEAR,NTEEIRS,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,ARC,ASS_CODE,CODE990,CYCLE,DLN,DocCd,EOSTATUS,FISYR,INC_CODE,LRC,POPCD,Q78A,RECCODE,RESERVED,SOIYR,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,fincheckv,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,Verifyby,NAICS,epostcard
36335,134184284,9,200912,2009,A65,34056,0,0,0,0,0,0,0,0,0,37393,37305,25803,0,0,25715,25803,0,0,0,0,0,0,0,0,0,0,0,0,3337,0,,37393,37393,0,0,0,0,0,3337,0,88,0,0,0,0,0,0,0,25715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201034,29492212287300,92,1,2009,3,Y,1,N,1,0,2009,10034-1018,10034.0,IN,,134184284200912,1341842842009,12,0.0,0.0,0.0,25 INDIAN RD APT 4G,3.0,0.0,NEW YORK,1.0,TED MINOS,1.0,1.0,15.0,10.0,0.0,MOOSE HALL THEATRE COMPANY,1.0,200201.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A65,A,0,L,0,36061.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.48038000000000003,A,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,24847.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,,,,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,,711110.0,
36336,134185397,9,200906,2008,A112,136846,0,0,0,1143,0,0,0,0,0,375050,84227,257153,0,0,185838,257153,0,0,257153,0,0,0,0,0,0,0,219508,0,17553,0,,155542,155542,0,0,0,0,0,237061,0,71315,0,0,0,0,0,0,0,185838,0,0,0,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201026,29493163128020,93,1,2009,4,Y,1,N,1,0,2008,10018-7757,10018.0,IN,,134185397200906,1341853972009,6,0.0,0.0,0.0,255 W 36TH ST FL 15,3.0,0.0,NEW YORK,1.0,JORDAN ASSOC,1.0,1.0,15.0,10.0,0.0,LAGUARDIA HIGH SCHOOL PARENTS ASSOCIATION INC,1.0,200112.0,,NY,rtf09pc,,2.0,2.0,2.0,1.0,A11,A,0,L,0,36061.0,5600.0,5600.0,A11,A,PC,S,ZA,A,A,1,AR,AR,AR,0.8085399999999999,B,136846.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,257153.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,1685.0,4,2006.0,72824.0,4,2006.0,,813219.0,
36338,134185513,9,200912,2009,A68,43075,0,0,0,40,0,0,0,0,0,43115,44551,35452,0,0,37589,36324,701,872,0,0,0,0,0,0,0,0,0,0,0,0,,43115,43115,0,0,0,0,0,0,0,-1436,0,0,0,0,0,0,0,36888,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201052,29492345209180,92,1,2009,3,Y,1,N,1,0,2009,10165-0009,10165.0,IN,,134185513200912,1341855132009,12,0.0,0.0,0.0,60 E 42ND ST FL 40,3.0,0.0,NEW YORK,1.0,FRANK H KLEIN,1.0,1.0,15.0,20.0,0.0,RENOVATION IN MUSIC EDUCATION,1.0,200111.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A6E,A,0,L,0,36061.0,5600.0,5600.0,A6E,A,PC,O,AR,A,A,1,AR,AR,AR,0.58233,A,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,611610.0,
36350,134187396,9,200906,2008,A60,86092,0,0,0,210,0,0,0,0,0,86302,61985,39565,0,0,27998,41565,12750,2000,0,0,0,0,0,0,0,0,0,0,0,0,,86302,86302,0,0,0,0,0,0,0,24317,0,0,0,0,0,0,0,15248,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201028,29492177265340,92,1,2009,3,Y,1,N,1,0,2008,10025-3441,10025.0,IN,,134187396200906,1341873962009,6,0.0,0.0,0.0,340 RIVERSIDE DR APT 15A,3.0,0.0,NEW YORK,1.0,OMUS HIRSHBEIN,1.0,1.0,15.0,10.0,0.0,TWIN LIONS INC,1.0,200206.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A68,A,0,L,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.8547,A,86092.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,39565.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,41565.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,8193.0,4,2006.0,52815.0,4,2006.0,,711130.0,
36351,134187863,8,200807,2007,A65,37720,0,0,0,0,0,0,0,0,0,40510,21827,18683,0,0,0,18683,0,0,0,0,0,0,0,0,0,0,0,2370,0,0,,40510,40510,0,0,0,0,0,0,0,18683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,2,1,201003,29492234037339,92,1,2008,3,Y,1,N,1,0,2007,10031-5209,10031.0,IN,,134187863200807,1341878632008,7,0.0,0.0,0.0,425 W 144TH ST,3.0,0.0,NEW YORK,1.0,EDWINA MYERS-LYNCH,1.0,1.0,15.0,10.0,0.0,HARLEM OPERA THEATER INC,1.0,200205.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A6A,A,0,L,0,36061.0,5600.0,5600.0,A6A,A,PC,O,AR,A,A,1,AR,AR,AR,0.5656899999999999,A,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711130.0,
36353,134188059,9,200906,2008,A68,6705,0,0,0,19,0,0,0,0,0,35374,34329,14274,0,0,13229,14274,0,0,0,0,0,0,0,0,0,0,0,13648,0,1380,,35374,35374,0,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,13229,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,2,1,201004,29492009212190,92,1,2009,3,Y,1,N,1,0,2008,10022-6431,10022.0,IN,,134188059200906,1341880592009,6,0.0,0.0,0.0,429 E 52ND ST APT 4E,3.0,0.0,NEW YORK,1.0,LEONARD L FINKEL,1.0,1.0,15.0,10.0,0.0,AKS CHORALE INC,1.0,200209.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A6B,A,0,L,0,36061.0,5600.0,5600.0,A6B,A,PC,O,AR,A,A,1,AR,AR,AR,0.62471,A,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,711130.0,
36365,134189725,9,200906,2008,A65,149463,0,0,0,0,0,0,0,0,0,168678,179879,7076,0,0,18323,7081,46,5,0,0,0,0,0,0,0,0,0,15315,0,3900,,168678,168678,0,0,0,0,0,0,0,-11201,0,0,0,0,0,0,0,18277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201031,29492198267120,92,1,2009,4,Y,1,N,1,0,2008,11217-1694,11217.0,IN,,134189725200906,1341897252009,6,0.0,0.0,0.0,138 S OXFORD ST STE 4D,3.0,0.0,BROOKLYN,1.0,RACHEL DICKSTEIN,1.0,1.0,15.0,10.0,0.0,RIPE TIME INC,1.0,200212.0,RIPE TIME,NY,rtf09pc,,1.0,2.0,2.0,2.0,A0165,A,0,L,0,36047.0,5600.0,5600.0,A016,A,PC,O,AR,A,A,1,AR,AR,AR,0.25645999999999997,A,137212.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,7076.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,7081.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,12251.0,4,2006.0,50835.0,4,2006.0,88962.0,4,2006.0,,813319.0,
36366,134189808,9,200908,2008,A61,145424,0,0,0,10,0,0,0,0,0,1290722,1288104,-262496,30693,0,104345,63737,359797,326233,-262496,0,0,0,0,0,0,0,9662,1125778,9848,0,,1281060,1281060,0,0,0,0,0,19510,0,-7044,0,369590,34847,0,0,0,0,-255452,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201036,29493226121040,93,1,2009,6,Y,1,N,1,0,2008,10036-4750,10036.0,IN,,134189808200908,1341898082009,8,0.0,0.0,0.0,630 9TH AVE STE 410,3.0,0.0,NEW YORK,2.0,GARY BERNSTEIN,1.0,1.0,16.0,10.0,0.0,WINGSPAN ARTS INC,1.0,200207.0,,NY,rtf09pc,,1.0,4.0,4.0,4.0,A61,A,13,M,2007,36061.0,5600.0,5600.0,A61,A,PC,O,AR,A,A,1,AR,AR,AR,0.32827,B,145424.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,6,2003.0,0.0,6,2003.0,304.0,6,2003.0,24522.0,6,2003.0,10122.0,4,2007.0,16572.0,3,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,133187.0,4,2007.0,1154823.0,4,2007.0,,711100.0,
36372,134191011,9,200912,2009,B99,500,0,0,0,546,0,0,0,0,0,36534,24717,78247,0,0,66430,78247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36534,36534,0,0,0,0,0,0,0,11817,0,0,0,0,0,0,0,66430,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201048,29492317210220,92,1,2009,3,Y,1,N,1,0,2009,10027-7237,10027.0,IN,,134191011200912,1341910112009,12,0.0,0.0,0.0,435 W 116TH ST,3.0,0.0,NEW YORK,1.0,KEVIN C FELZ,1.0,1.0,15.0,10.0,0.0,COLUMBIA BUSINESS LAW REVIEW INC,1.0,200202.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A33,A,0,L,0,36061.0,5600.0,5600.0,A33,A,PC,O,AR,A,A,1,AR,AR,AR,0.87246,A,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,,,,,,,,,,,,,,,,,,,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,,511100.0,
36373,134191013,9,200912,2009,A40,43117,0,0,0,0,0,0,0,0,0,43296,73991,24076,0,0,61271,30576,0,6500,0,0,0,0,0,0,0,0,0,0,0,179,,43296,43296,0,0,0,0,0,0,0,-30695,0,0,0,0,0,0,0,61271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201016,29492086036380,92,1,2009,3,Y,1,N,1,0,2009,10027-0000,10027.0,IN,,134191013200912,1341910132009,12,0.0,0.0,0.0,431 W126TH ST,3.0,0.0,NEW YORK,2.0,BANCROFT NESBETT,1.0,1.0,15.0,10.0,0.0,TRIPLE CANDIE INC,1.0,200110.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A1950,A,0,L,0,36061.0,5600.0,5600.0,A195,A,PC,O,AR,A,A,1,AR,AR,AR,0.13116,A,36598.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,24076.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,15325.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,6468.0,4,2006.0,2654.0,4,2006.0,71231.0,4,2006.0,,813219.0,
36374,134191056,9,200906,2008,B82,35494,0,0,0,0,0,0,0,0,0,43440,28483,26689,0,0,42660,26689,0,0,26689,0,0,0,0,0,0,0,30928,0,-22982,0,,12512,12512,0,0,0,0,0,7946,0,-15971,0,0,0,0,0,0,0,42660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201023,93493137033000,93,1,2009,3,Y,1,N,1,0,2008,10021-0000,10021.0,IN,,134191056200906,1341910562009,6,0.0,0.0,0.0,542 E 79 ST NO 2C,3.0,0.0,NEW YORK,2.0,JAMES J TARATUNIO,1.0,1.0,15.0,10.0,0.0,ALLIANCE FOR YOUNG URBAN DESIGN AND THE ARTS INC,1.0,200112.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A0140,A,0,L,0,36061.0,5600.0,5600.0,A014,A,PC,O,AR,A,A,1,AR,AR,AR,0.03841,A,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,813319.0,
36375,134191062,9,200912,2009,O20,429446,0,0,0,510,0,0,0,0,0,439143,371775,312856,0,0,267059,327268,21571,14412,0,0,0,0,0,0,0,0,0,9187,0,0,,439143,439143,0,0,0,0,0,0,0,67368,0,86921,6942,0,0,0,0,245488,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201048,29493317005120,93,1,2009,4,Y,1,N,1,0,2009,10452-1758,10452.0,IN,,134191062200912,1341910622009,12,0.0,0.0,0.0,1465 NELSON AVE OFC 1,3.0,0.0,BRONZ,1.0,DONALD SAKANO,1.0,1.0,15.0,10.0,0.0,HIGHBRIDGE VOICES CORPORATION,1.0,200204.0,,NY,rtf09pc,,2.0,2.0,2.0,2.0,A68,A,6,M,2005,36005.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.79857,A,424973.0,4,2005.0,0.0,4,2005.0,0.0,4,2005.0,246721.0,4,2005.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,239417.0,6,2003.0,21055.0,4,2005.0,17181.0,4,2005.0,0.0,4,2005.0,66135.0,4,2005.0,4386.0,4,2005.0,87741.0,4,2005.0,229876.0,4,2005.0,,711130.0,
36377,134191336,8,200812,2008,A65,0,0,0,0,0,0,0,0,0,0,386839,311032,138537,0,0,150111,143806,87381,5269,0,0,0,0,0,0,0,0,0,293262,0,93577,,386839,386839,0,0,0,0,0,0,0,75807,0,0,0,0,0,0,0,62730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201003,29492353130199,92,1,2008,4,Y,1,N,1,0,2008,11215-3351,11215.0,IN,,134191336200812,1341913362008,12,0.0,0.0,0.0,403 6TH AVE APT 7,3.0,0.0,BROOKLYN,2.0,DONNIE ORDWAY,1.0,1.0,16.0,10.0,0.0,BIG ART GROUP INC,1.0,200207.0,,NY,rtf09pc,,2.0,2.0,2.0,2.0,A65,A,0,L,0,36047.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.9924700000000001,A,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,138537.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,80663.0,6,2003.0,64480.0,4,2006.0,67307.0,3,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,34665.0,4,2006.0,265907.0,4,2006.0,,711110.0,
36383,134192400,9,200907,2008,A68,249018,0,0,0,4490,0,0,0,0,0,553003,452647,136198,0,0,40648,137643,411,1445,0,0,0,0,0,0,0,0,4395,289570,4460,1070,,548608,548608,0,0,0,0,0,8855,0,95961,0,0,0,0,0,0,0,40237,0,0,0,0,0,4490,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,4,1,201027,29492170248220,92,1,2009,5,Y,1,N,1,0,2008,11232-3604,11232.0,IN,,134192400200907,1341924002009,7,0.0,0.0,0.0,4306 3RD AVE 3RD FLR,3.0,0.0,BROOKLYN,1.0,WILLIAM MCDANIEL TREAS,1.0,1.0,16.0,10.0,0.0,INTERNATIONAL CONTEMPORARY ENSEMBLE FOUNDATION INC,1.0,200111.0,,NY,rtf09pc,,2.0,3.0,3.0,2.0,A6C,A,0,L,0,36047.0,5600.0,5600.0,A6C,A,PC,O,AR,A,A,1,AR,AR,AR,0.03938,A,223274.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,136198.0,4,2006.0,,,,,,,,,,,,,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,25276.0,4,2006.0,47087.0,4,2006.0,403281.0,4,2006.0,,711130.0,
36384,134192780,9,200906,2008,A65,49379,0,0,0,0,0,0,0,0,0,49379,68083,6559,0,0,25263,6559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49379,49379,0,0,0,0,0,0,0,-18704,0,0,0,0,0,0,0,25263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201013,29492072031190,92,1,2009,3,Y,1,N,1,0,2008,10474-0004,10474.0,IN,,134192780200906,1341927802009,6,0.0,0.0,0.0,PO BOX 740190,3.0,200906.0,BRONX,2.0,W KERRY HUANG,1.0,1.0,15.0,10.0,0.0,MUD BONE COLLECTIVE INC,1.0,200504.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A65,A,0,L,0,36005.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.54585,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711110.0,
36392,134194508,9,200912,2009,A50,229507,0,0,0,17,0,3977,10148,0,0,257250,271443,-2181,0,0,25049,15494,9060,17675,0,0,0,0,0,0,0,0,0,5618,0,0,,253273,253273,0,0,0,0,0,0,14125,-18170,0,0,0,0,0,0,0,15989,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,2,1,201029,29492184434240,92,1,2009,4,Y,1,N,1,0,2009,10012-3234,10012.0,IN,,134194508200912,1341945082009,12,0.0,0.0,0.0,594 BROADWAY RM 401,3.0,0.0,NEW YORK,1.0,LAWRENCE KLEIN,1.0,1.0,15.0,10.0,0.0,MUSEUM OF COMIC AND CARTOON ART,1.0,200203.0,,NY,rtf09pc,,1.0,2.0,2.0,2.0,A51,A,0,L,0,36061.0,5600.0,5600.0,A51,A,PC,O,AR,A,A,1,AR,AR,AR,0.9792,A,229507.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,-2181.0,4,2006.0,0.0,6,2003.0,1693.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,28241.0,4,2006.0,207320.0,4,2006.0,,712110.0,
36399,134195889,7,200712,2007,A6B,21000,70414,0,0,0,3046,0,0,297073,297073,388487,396970,-70539,41982,0,14346,34009,74402,104548,0,0,0,0,0,0,0,0,0,297073,0,0,,388487,388487,0,0,0,0,0,0,0,-8483,-2000,120489,8652,0,0,0,0,-60056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,N,3,1,200847,29490299006178,90,1,2007,4,Y,1,N,1,0,2007,10030-2606,10030.0,IN,,134195889200712,1341958892007,12,0.0,0.0,0.0,151 W 136TH ST 2ND FL,3.0,0.0,NEW YORK,1.0,CHANTEL WRIGHT,1.0,1.0,15.0,10.0,0.0,SONGS OF SOLOMON AN INSPIRATIONAL ENSEMBLE,1.0,200205.0,,NY,CORE08pc,,,,,,A6C,A,4,K,0,36061.0,5600.0,5600.0,A6C,A,PC,O,AR,A,A,1,AR,AR,AR,0.68762,A,6026.0,4,2005.0,3371.0,4,2005.0,0.0,4,2005.0,0.0,4,2005.0,,,,,,,,,,,,,0.0,4,2005.0,0.0,3,2005.0,0.0,4,2005.0,0.0,4,2005.0,11592.0,4,2005.0,0.0,4,2005.0,396970.0,4,2005.0,,711130.0,
36418,134198750,8,200812,2008,A60,6791,0,0,0,0,0,0,0,0,0,45156,4740,6665,0,0,2481,6665,0,0,0,0,0,0,0,0,0,0,36232,0,2133,0,,8924,8924,0,0,0,0,0,38365,0,4184,0,0,0,0,0,0,0,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201029,29492114156040,92,1,2008,3,N,1,N,1,0,2008,10014-2980,10014.0,IN,,134198750200812,1341987502008,12,0.0,0.0,0.0,332 BLEEKER ST E48,3.0,201012.0,NEW YORK,2.0,ALISON ALBECK,1.0,1.0,15.0,20.0,0.0,STUDIO 42 INC,1.0,200612.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A60,A,0,L,0,36061.0,5600.0,5600.0,A60,A,PC,O,AR,A,A,1,AR,AR,AR,0.02155,B,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,711100.0,
36427,134200005,9,200906,2008,A65,24614,0,0,0,1013,0,0,0,0,0,52003,48441,52302,0,0,101481,61652,9350,9350,0,0,0,0,0,0,0,0,0,0,0,1346,,21679,21679,0,0,25030,30324,-5294,0,0,-26762,0,0,0,0,0,0,0,92131,0,0,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,3,1,201016,29492086105120,92,1,2009,3,Y,1,N,1,0,2008,10011-1240,10011.0,IN,,134200005200906,1342000052009,6,0.0,0.0,0.0,470 W 24TH ST APT 17E,3.0,0.0,NEW YORK,1.0,GABRIELLE LANSNER,1.0,1.0,15.0,0.0,0.0,GABRIELLE LANSNER AND COMPANY INCORPORATED,1.0,200208.0,,NY,rtf09pc,,1.0,1.0,1.0,1.0,A65,A,0,L,0,36061.0,5600.0,5600.0,A65,A,PC,O,AR,A,A,1,AR,AR,AR,0.10367,B,24614.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,52302.0,4,2006.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,4,2006.0,8180.0,4,2006.0,38846.0,4,2006.0,,711110.0,
36431,134200666,10,201006,2009,A62,122051,0,0,0,0,0,0,0,0,0,162181,176615,-56335,0,0,1220,1890,43121,58225,0,0,0,0,0,0,0,0,0,40130,0,0,,162181,162181,0,0,0,0,0,0,0,-14434,0,0,0,0,0,0,0,-41901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201047,93492321009070,92,1,2010,4,Y,1,N,1,0,2009,10014-1673,10014.0,IN,,134200666201006,1342006662010,6,0.0,0.0,0.0,42 HORATIO STREET,3.0,0.0,NEW YORK,1.0,TERE OCONNER,1.0,1.0,16.0,10.0,0.0,BIG TREE PRODUCTIONS INC,1.0,200212.0,,NY,rtf09pc,,1.0,2.0,2.0,2.0,A62,A,0,L,0,36061.0,5600.0,5600.0,A62,A,PC,O,AR,A,A,1,AR,AR,AR,0.5855,B,97462.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-56335.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,1890.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,24589.0,6,2003.0,25216.0,6,2003.0,150693.0,6,2003.0,,711120.0,
36722,134252005,9,200912,2009,A68,478306,0,0,0,0,0,0,0,0,0,1426766,231949,688,0,0,17474,1048,54451,360,0,0,0,0,0,0,0,0,1157152,0,-208692,0,,269614,269614,0,0,0,0,0,948460,0,37665,0,0,0,0,0,0,0,-36977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,N,1,1,201047,93493319067020,93,1,2009,6,Y,1,N,1,0,2009,10003-0000,10003.0,IN,,134252005200912,1342520052009,12,0.0,0.0,0.0,C/O USHG 24 UNION SQUARE EAST 6TH,3.0,0.0,NEW YORK,2.0,USHG,1.0,1.0,15.0,10.0,0.0,BIG APPLE BARBECUE BLOCK PARTY,1.0,200308.0,,NY,rtf09pc,,1.0,2.0,4.0,2.0,A68,A,0,L,0,36061.0,5600.0,5600.0,A68,A,PC,O,AR,A,A,1,AR,AR,AR,0.47293999999999997,B,478306.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,688.0,4,2007.0,,,,,,,,,,,,,0.0,4,2007.0,0.0,3,2007.0,0.0,4,2007.0,0.0,4,2007.0,0.0,4,2007.0,134094.0,4,2007.0,97855.0,4,2007.0,,711130.0,
