,EIN,DocCD,TAXPER,TaxPer_OLD,ARC,ASS_CODE,EOSTATUS,INC_CODE,LRC,POPCD,RECCODE,RESERVED,SOIYR,CYCLE,NTEEIRS,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,DLN,FISYR,Q78A,ZIP,ZIP5,OUTNCCS,OUTREAS,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,nteeFinal,nteeFinal1,NumEmpEstimate,NumEmpCode,NumEmpYr,FIPS,MSA_NECH,PMSA,NTEECC,NTEE1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAJGRPB,NTEESRC,ntmaj10,ntmaj12,ntmaj5,RandNum,nteeConf,DirSupEstimate,DirSupCode,DirSupYr,IndSupEstimate,IndSupCode,IndSupYr,PayAfflEstimate,PayAfflCode,PayAfflYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr,NetLandEstimate,NetLandCode,NetLandYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,PermRnaEstimate,PermRnaCode,PermRnaYr,TempRnaEstimate,TempRnaCode,TempRnaYr,GovGtEstimate,GovGtCode,GovGtYr,AdminExpEstimate,AdminExpCode,AdminExpYr,ProgExpEstimate,ProgExpCode,ProgExpYr,NAICS,LONGITUDE,LATITUDE,ProffeesEstimate,ProffeesCode,ProffeesYr,OccuEstimate,OccuCode,OccuYr,InterEstimate,InterCode,InterYr,GrantEstimate,GrantCode,GrantYr,DepRecEstimate,DepRecCode,DepRecYr,CommEstimate,CommCode,CommYr,AssIndEstimate,AssIndCode,AssIndYr,compothestimate,compothcode,compothyr,EmpBenEstimate,EmpBenCode,EmpBenYr,SupplyEstimate,SupplyCode,SupplyYr,PensionEstimate,PensionCode,PensionYr,benmemestimate,benmemCode,benmemYr,othexpestimate,othexpCode,othexpYr,epostcard
243906,562364827,92,200912,201012,N,2,1,4,Y,1,1,0,2009,201026,A31,2009,11000,0,0,0,0,0,0,0,0,0,194025,257111,15201,0,0,80683,23596,2396,8395,0,0,0,0,0,0,0,0,0,183025,0,0,,194025,194025,0,0,0,0,0,0,0,-63086,0,0,0,0,0,0,0,78287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492170063180,2009,N,10029-6917,10029.0,IN,,562364827200912,5623648272009.0,12,0.0,0.0,0.0,1158 5TH AVE,3.0,201112.0,NEW YORK,1.0,KATHRYN MULLEN,1.0,15.0,20.0,0.0,NO STRINGS INC,1.0,200807.0,,NY,CORE09pc,,,,,A68,A,0,L,0,36061.0,5602.0,5600.0,A68,A,PC,O,AR,A,A,,AR,AR,AR,0.60612,A,11000,ez,2009,0,ez,2009,0,ag,0,,u,,0,av,0,1821,av,0,3582,av,0,2111,av,0,6818,av,0,6818.0,av,0.0,,u,,,u,,0,ez,2009,,,,,,,711130.0,-73.955423,40.788521,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244050,562387798,92,201003,201103,N,1,1,3,Y,1,1,0,2009,201114,A65,2009,24245,0,0,0,0,0,0,0,0,0,28245,43246,890,0,0,15891,890,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,,28245,28245,0,0,0,0,0,0,0,-15001,0,0,0,0,0,0,0,15891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492078033171,2010,N,10031-5625,10031.0,IN,,562387798201003,5623877982010.0,3,0.0,0.0,0.0,3505 BROADWAY APT 25,3.0,0.0,NEW YORK,1.0,MPL PRODUCTIONS,1.0,15.0,20.0,0.0,MENDELSSOHN PROJECT INC,1.0,200402.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A0568,A,0,L,0,36061.0,5602.0,5600.0,A056,A,PC,O,AR,A,A,,AR,AR,AR,0.18249,B,24245,c4,2006,0,c4,2006,0,ag,0,890.0,c4,2006.0,0,av,0,69,av,0,135,av,0,80,av,0,257,av,0,4591.0,av,0.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,711110.0,-73.951276686,40.8253881,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244120,562399210,92,201012,201012,N,1,1,3,Y,1,1,0,2010,201117,A69,2010,1595,0,0,0,0,0,0,491,0,0,75401,70430,9638,0,0,4667,9638,0,0,0,0,0,0,0,0,0,0,0,73315,0,0,,75401,75401,0,0,0,0,0,0,491,4971,0,0,0,0,0,0,0,4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492092225201,2010,N,10040-3611,10040.0,IN,,562399210201012,5623992102010.0,12,0.0,0.0,0.0,265 CABRINI BLVD APT 3A,3.0,0.0,NEW YORK,1.0,JULIAN MOLITZ,1.0,16.0,10.0,0.0,FIREWORKS,1.0,200506.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A69,A,0,L,0,36061.0,5602.0,5600.0,A69,A,PC,O,AR,A,A,,AR,AR,AR,0.06826,B,1595,ez,2010,0,ez,2010,0,ag,0,,u,,0,av,0,744,av,0,1463,av,0,862,av,0,2785,av,0,1348.0,av,0.0,,u,,,u,,0,ez,2010,,,,,,,711130.0,-73.937777,40.855999600000004,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244246,562422574,93,201012,201012,N,4,1,3,Y,1,1,0,2010,201139,X20,2010,37369,0,0,0,19,0,0,0,0,0,37388,23550,124941,0,0,111103,124941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37388,37388,0,0,0,0,0,0,0,13838,0,0,0,0,0,0,0,111103,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493253018141,2010,N,11360-2425,11360.0,IN,,562422574201012,5624225742010.0,12,0.0,0.0,0.0,2866 209TH PL,3.0,200712.0,BAYSIDE,7.0,EUN SOOK LEE,1.0,15.0,10.0,0.0,NY EXHORTERS MISSIONARY CHORUS INC,1.0,200404.0,,NY,rtf10pc,2.0,1.0,1.0,1.0,X20,X,0,L,0,36081.0,5602.0,5600.0,X20,A,PC,O,RE,X,X,,RE,RE,OT,0.3065,A,37369,ag,0,0,ag,0,0,ag,0,,u,,0,av,0,9642,av,0,18967,av,0,11175,av,0,36100,av,0,32102.0,av,0.0,,u,,,u,,0,ag,0,,,,,,,711130.0,-73.7819017,40.782234700000004,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244280,562428283,93,201106,201106,N,4,1,5,Y,1,1,0,2010,201134,X30,2010,120435,0,0,0,71,0,0,0,0,0,500766,431363,144033,0,0,96635,151783,7500,7750,0,0,0,0,0,0,0,0,14505,308957,56798,0,,486261,486261,0,0,0,0,0,71303,0,54898,0,76154,10197,0,0,0,0,89135,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493229006011,2011,N,10038-4912,10038.0,IN,,562428283201106,5624282832011.0,6,0.0,0.0,0.0,125 MAIDEN LANE SUITE 88,3.0,200812.0,NEW YORK,7.0,,1.0,15.0,10.0,0.0,LIMMUD NY,1.0,200403.0,,NY,rtf10pc,2.0,2.0,3.0,2.0,A0184,A,2,M,2009,36061.0,5602.0,5600.0,A018,X,PC,O,AR,A,A,,AR,AR,AR,0.72738,B,120435,j4,2009,0,j4,2009,0,j4,2009,144033.0,c4,2009.0,0,j4,2009,0,j4,2009,0,j4,2009,125097,j4,2009,1311,j4,2009,1473.0,j1,2009.0,0.0,c4,2009.0,0.0,c4,2009.0,0,j4,2009,,,,,,,813110.0,-74.006268,40.706832,,u,,23472,j4,2009,0,j4,2009,0,j4,2009,761,j4,2009,5055,j4,2009,,u,,,u,,0,j4,2009,2556,j4,2009,0,j4,2009,,u,,,u,,
244477,562468453,92,201012,201012,N,4,1,4,Y,1,1,0,2010,201151,A69,2010,110401,0,0,0,1717,0,0,0,0,0,112118,49749,449307,0,0,386938,449307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,112118,112118,0,0,0,0,0,0,0,62369,0,0,0,0,0,0,0,386938,0,0,0,0,0,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492337199341,2010,N,10025-7764,10025.0,IN,,562468453201012,5624684532010.0,12,0.0,0.0,0.0,435 RIVERSIDE DR APT 122,3.0,200812.0,NEW YORK,2.0,MARIAM C SAID,1.0,15.0,10.0,0.0,BARENBOIM-SAID FOUNDATION USA,1.0,200502.0,,NY,rtf10pc,2.0,2.0,2.0,1.0,A69,A,0,L,0,36061.0,5602.0,5600.0,A69,A,PC,O,AR,A,A,,AR,AR,AR,0.49749,B,110401,c4,2005,0,c4,2005,0,ag,0,331977.0,c4,2005.0,0,av,0,34672,av,0,68209,av,0,40188,av,0,129821,av,0,111800.0,av,0.0,0.0,c4,2005.0,117330.0,c4,2005.0,0,c4,2005,,,,,,,711130.0,-73.96613165,40.8087016,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244752,562527869,92,201012,201012,N,3,1,3,Y,1,1,0,2010,201152,,2010,26000,0,0,0,0,0,0,0,0,0,26000,26933,67504,0,0,94920,81987,26483,14483,0,0,0,0,0,0,0,0,0,0,0,0,,26000,26000,0,0,0,0,0,0,0,-933,0,0,0,0,0,0,0,68437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492344133141,2010,N,10023-6798,10023.0,IN,,562527869201012,5625278692010.0,12,0.0,0.0,0.0,303 W 66TH ST APT 20HE,3.0,200912.0,NEW YORK,2.0,JASON STARR,1.0,15.0,20.0,0.0,CULTURAL MEDIA COLLABORATIVE INC,1.0,200509.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A30,A,0,L,0,36061.0,5602.0,5600.0,A30,A,PC,O,AR,A,A,,AR,AR,AR,0.70516,B,26000,c4,2006,0,c4,2006,0,ag,0,67504.0,c4,2006.0,1069,ag,0,13359,ag,0,22363,ag,0,4097,ag,0,27957,ag,0,34842.0,ag,0.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,512110.0,-73.987440496,40.775957575999996,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244778,562532217,92,201012,201012,N,2,1,4,Y,1,1,0,2010,201126,A60,2010,125864,0,0,0,0,0,7985,45698,0,0,179547,147602,23960,0,0,0,23960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,171562,171562,0,0,0,0,0,0,53683,23960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492171003751,2010,Y,11225-3656,11225.0,IN,,562532217201012,5625322172010.0,12,0.0,0.0,0.0,99 OCEAN AVENUE,3.0,200912.0,BROOKLYN,2.0,PETER JOSEPH SEYMOUR,1.0,15.0,10.0,0.0,PROJECT,1.0,200610.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A60,A,0,L,0,36047.0,5602.0,5600.0,A60,A,PC,O,AR,A,A,,AR,AR,AR,0.15317999999999998,B,125864,ez,2010,0,ez,2010,0,ag,0,,u,,0,av,0,1849,av,0,3637,av,0,2143,av,0,6923,av,0,,,,,u,,,u,,0,ez,2010,,,,,,,711100.0,-73.962574,40.661046,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
244839,562545700,92,201012,201012,N,2,1,3,Y,1,1,0,2010,201149,A23,2010,64264,0,0,0,0,0,0,0,0,0,82938,81726,24603,0,0,23207,24688,229,85,0,0,0,0,0,0,0,0,0,12922,0,5752,,82938,82938,0,0,0,0,0,0,0,1212,0,0,0,0,0,0,0,22978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492253195281,2010,N,11217-1423,11217.0,IN,,562545700201012,5625457002010.0,12,0.0,0.0,0.0,126 SAINT FELIX ST,3.0,200912.0,BROOKLYN,1.0,EMILY SOCOLOV,1.0,15.0,10.0,0.0,MANO A MANO MEXICAN CULTURE WITHOUT BORDERS,1.0,200608.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A23,A,0,L,0,36047.0,5602.0,5600.0,A23,A,PC,O,AR,A,A,,AR,AR,AR,0.5373399999999999,B,46581,c4,2006,0,c4,2006,0,ag,0,24603.0,c4,2006.0,0,av,0,1093,av,0,1584,av,0,2183,av,0,14432,av,0,13566.0,av,0.0,0.0,c4,2006.0,0.0,c4,2006.0,17683,c4,2006,,,,,,,710000.0,-73.976875,40.685819,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
245203,562630951,93,200912,200912,N,5,1,4,Y,1,1,0,2009,201051,A20,2009,206116,0,0,0,90,0,0,0,0,0,332444,380442,308100,31433,0,375561,610160,19463,302060,0,0,0,0,0,0,0,0,0,74108,0,52130,,332444,332444,0,0,0,0,0,0,0,-47998,0,37615,4236,0,0,0,281789,356098,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493331132040,2009,N,11206-3542,11206.0,IN,,562630951200912,5626309512009.0,12,0.0,0.0,0.0,304 BOERUM ST APT 23,3.0,201012.0,BROOKLYN,1.0,,1.0,15.0,10.0,0.0,CHEZ BUSHWICK INC,1.0,200706.0,,NY,CORE09pc,,,,,A20,A,3,K,0,36047.0,5602.0,5600.0,A20,A,PC,O,AR,A,A,,AR,AR,AR,0.90325,B,206116,ag,0,0,ag,0,0,ag,0,,u,,0,av,0,27010,av,0,39148,av,0,53946,av,0,356681,av,0,356681.0,av,0.0,,u,,,u,,0,ag,0,,,,,,,710000.0,-73.9351103,40.7062946,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
247784,571069546,93,201006,201006,N,6,1,6,Y,1,1,0,2009,201126,A65,2009,842016,0,0,0,7649,0,0,0,0,0,1506888,939217,1641231,146572,0,1118468,1653514,44908,12283,0,0,0,0,0,0,0,0,0,656558,0,665,,1506888,1506888,0,0,0,0,0,0,0,567671,0,125958,21588,0,0,0,0,1073560,0,0,0,0,0,7649,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493155213031,2010,N,10003-6671,10003.0,IN,,571069546201006,5710695462010.0,6,0.0,0.0,0.0,4 WASHINGTON SQ N,3.0,0.0,NEW YORK,2.0,CTR FOR ANCIENT STUDIES NY UNIV,1.0,16.0,10.0,0.0,AQUILA THEATRE COMPANY,1.0,200005.0,,NY,rtf10pc,4.0,4.0,4.0,3.0,A65,A,9,M,2007,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,,AR,AR,AR,0.84688,A,26559,c4,2006,0,c4,2006,0,dd,2003,1641231.0,c4,2007.0,0,dd,2003,0,dd,2003,0,dd,2003,243253,dd,2003,7937,dd,2003,5369.0,dd,2003.0,0.0,c4,2007.0,0.0,c4,2007.0,815457,c4,2006,,,,,,,711110.0,-73.99568494399999,40.731391422,,u,,0,dd,2003,0,dd,2003,0,dd,2003,1403,dd,2003,0,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
248200,571139066,93,201012,201012,N,1,1,3,Y,1,1,0,2010,201147,A65,2010,27673,0,0,0,0,0,0,0,0,0,39367,55698,6287,0,0,22618,6287,0,0,0,0,0,0,0,0,0,0,0,11694,0,0,,39367,39367,0,0,0,0,0,0,0,-16331,0,0,0,0,0,0,0,22618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493260034011,2010,N,10128-0754,10128.0,IN,,571139066201012,5711390662010.0,12,0.0,0.0,0.0,64 E 94TH ST APT 6G,3.0,0.0,NEW YORK,1.0,KIRAN RIKHYE,1.0,15.0,20.0,0.0,STOLEN CHAIR THEATRE COMPANY INC,1.0,200609.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A65,A,0,L,0,36061.0,5602.0,5600.0,A65,A,PC,O,AR,A,A,,AR,AR,AR,0.72955,A,27673,ag,0,0,ag,0,0,ag,0,,u,,0,av,0,485,av,0,954,av,0,562,av,0,1817,av,0,7460.0,av,0.0,,u,,,u,,0,ag,0,,,,,,,711110.0,-73.954614277,40.785727694,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
248235,571147217,93,201012,201012,N,4,1,4,Y,1,1,0,2010,201141,A33,2010,125079,0,0,0,827,0,0,0,0,0,126146,231180,103543,90203,0,209281,116826,698,13283,0,0,0,0,0,0,0,0,0,240,0,0,,126146,126146,0,0,0,0,0,0,0,-105034,0,49056,18890,0,0,0,0,208583,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93493277008541,2010,N,10009-5024,10009.0,IN,,571147217201012,5711472172010.0,12,0.0,0.0,0.0,131 AVENUE B APT 1B,3.0,0.0,NEW YORK,1.0,STUART LEIGH,1.0,15.0,10.0,0.0,REAL WORLD FOUNDATION INC,1.0,200406.0,,NY,rtf10pc,2.0,2.0,2.0,2.0,A33,A,0,I,2003,36061.0,5602.0,5600.0,A33,A,PC,O,AR,A,A,,AR,AR,AR,0.21035,B,125079,ag,0,0,ag,0,0,dd,2003,103543.0,dd,2003.0,1524,ag,0,19036,ag,0,31866,ag,0,5839,ag,0,39836,ag,0,96484.0,ag,0.0,0.0,dd,2003.0,0.0,dd,2003.0,0,ag,0,,,,,,,511100.0,-73.980739833,40.726316,,u,,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,0,dd,2003,0,dd,2003,0,dd,2003,,u,,,u,,
248373,571173020,92,201105,201105,N,3,1,3,Y,1,1,0,2010,201138,A70,2010,0,0,0,0,0,0,0,0,0,0,90796,88088,8400,0,0,42707,29502,37015,21102,0,0,0,0,0,0,0,0,0,90796,0,0,,90796,90796,0,0,0,0,0,0,0,2708,0,0,0,0,0,0,0,5692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492239095151,2011,N,11375-5922,11375.0,IN,,571173020201105,5711730202011.0,5,0.0,0.0,0.0,7106 HARROW ST,3.0,0.0,FOREST HILLS,2.0,WEI ZHANG,1.0,11.0,10.0,0.0,ALL KIDS CAN LEARN SCHOOL INC,1.0,200406.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A70,A,0,L,0,36081.0,5602.0,5600.0,A70,A,PC,O,AR,A,A,,AR,AR,AR,0.62833,B,0,a,2011,0,a,2011,0,ag,0,8400.0,c4,2007.0,385,ag,0,4807,ag,0,8047,ag,0,1474,ag,0,10060,ag,0,14222.0,ag,0.0,0.0,c4,2007.0,0.0,c4,2007.0,0,a,2011,,,,,,,710000.0,-73.852616367,40.718709555,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
248484,571196732,93,201012,201012,N,1,1,4,Y,1,1,0,2010,201131,A20,2010,61700,0,0,0,0,0,0,8646,0,0,103746,100329,4036,0,0,619,4036,0,0,4036,0,0,0,0,0,0,0,0,33400,0,0,,103746,103746,0,0,0,0,0,0,8646,3417,0,26795,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,619,0,1,29493141015161,2010,N,10007-1868,10007.0,IN,,571196732201012,5711967322010.0,12,0.0,0.0,0.0,280 BROADWAY 2ND FL,3.0,0.0,NEW YORK,2.0,SALLY GEISEL,1.0,16.0,10.0,0.0,EL MUNDO DEL FLAMENCO INC,1.0,200410.0,NY CTR FOR FLAMENCO PERFORMING ARTS,NY,rtf10pc,1.0,2.0,2.0,2.0,A60,A,1,K,0,36061.0,5602.0,5600.0,A60,A,PC,O,AR,A,A,,AR,AR,AR,0.3335,A,0,j3,2009,0,j3,2009,0,j3,2009,4036.0,j3,2009.0,0,j3,2009,0,j3,2009,0,j3,2009,4036,j3,2009,0,j3,2009,0.0,j1,2009.0,0.0,j3,2009.0,0.0,j3,2009.0,61700,j3,2009,,,,,,,711100.0,-74.0094,40.7144,,u,,14149,j3,2009,0,j3,2009,0,j3,2009,0,j3,2009,7741,j3,2009,,u,,,u,,0,j3,2009,1237,j3,2009,0,j3,2009,,u,,,u,,
248521,571204770,92,201103,201103,N,3,1,3,Y,1,1,0,2010,201147,A12,2010,49120,0,0,0,23,0,0,0,0,0,49143,6442,54866,0,0,12165,54866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49143,49143,0,0,0,0,0,0,0,42701,0,0,0,0,0,0,0,12165,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,93492319031681,2011,N,10178-0000,10178.0,IN,,571204770201103,5712047702011.0,3,0.0,0.0,0.0,C/O CURTIS ET AL 101 PARK AVE NO 35,3.0,200903.0,NEW YORK,2.0,CURTIS MALLET-PREVOST COLT & MOSL,1.0,15.0,20.0,0.0,AMERICAN SUPPORTERS OF ROYAL ACADEMY OF DRAMATIC ART,1.0,200504.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A1960,A,0,L,0,36061.0,5602.0,5600.0,A196,A,PC,O,AR,A,A,,AR,AR,AR,0.35147,A,49120,ez,2011,0,ez,2011,0,ag,0,,u,,792,av,0,6761,av,0,25619,av,0,1433,av,0,11076,av,0,2456.0,av,0.0,,u,,,u,,0,ez,2011,,,,,,,813219.0,-73.97874499999999,40.7510886,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
248639,571229930,92,201012,201012,N,2,1,3,Y,1,1,0,2010,201151,A25,2010,49772,0,0,0,0,0,0,0,0,0,49772,50317,17691,0,0,18236,17691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49772,49772,0,0,0,0,0,0,0,-545,0,0,0,0,0,0,0,18236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29492330087001,2010,N,10304-2609,10304.0,IN,,571229930201012,5712299302010.0,12,0.0,0.0,0.0,12 BROAD ST,3.0,201012.0,STATEN ISLAND,1.0,,1.0,15.0,10.0,0.0,NYC ARTS CYPHER INC,1.0,200709.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A25,A,0,L,0,36085.0,5602.0,5600.0,A25,A,PC,O,AR,A,A,,AR,AR,AR,0.9174700000000001,B,49772,ez,2010,0,ez,2010,0,ag,0,,u,,0,av,0,783,av,0,1135,av,0,1564,av,0,10342,av,0,10660.0,av,0.0,,u,,,u,,0,ez,2010,,,,,,,611610.0,-74.075621845,40.625408003000004,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
249682,581348532,92,201106,201106,N,3,1,3,Y,1,1,0,2010,201152,,2010,88079,0,0,0,0,0,0,0,0,0,98934,89107,64653,0,0,54826,64653,0,0,0,0,0,0,0,0,0,0,0,10855,0,0,,98934,98934,0,0,0,0,0,0,0,9827,0,0,0,0,0,0,0,54826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,60,1,29492344116091,2011,N,10022-3673,10022.0,IN,,581348532201106,5813485322011.0,6,60.0,149.0,0.0,120 E 56TH ST RM 520,3.0,198306.0,NEW YORK,1.0,,1.0,15.0,10.0,0.0,ASSOCIATION OF ART MUSEUM DIRECTORS EDUCATIONAL FOUNDATION INC,1.0,197903.0,,NY,rtf10pc,1.0,1.0,1.0,1.0,A0351,A,0,L,0,36061.0,5602.0,5600.0,A035,A,PC,O,AR,A,A,,AR,AR,AR,0.75207,A,88079,c4,2006,0,c4,2006,0,ag,0,64653.0,c4,2006.0,843,ag,0,10535,ag,0,17635,ag,0,3231,ag,0,22046,ag,0,18258.0,ag,0.0,0.0,c4,2006.0,0.0,c4,2006.0,0,c4,2006,,,,,,,813920.0,-73.97051301100001,40.760752892,,u,,0,ag,0,0,ag,0,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,0,ag,0,0,ag,0,0,ag,0,,u,,,u,,
255528,582400111,93,201012,201012,N,3,1,4,Y,1,1,0,2010,201138,A62,2010,290242,0,0,0,0,0,0,0,0,0,416563,406187,57239,24442,300,47361,58096,498,857,0,0,0,0,0,0,0,0,0,126321,0,0,,416563,416563,0,0,0,0,0,0,0,10376,0,21543,4372,0,0,0,0,46863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0,1,29493239055181,2010,N,11238-6156,11238.0,IN,,582400111201012,5824001112010.0,12,0.0,0.0,0.0,201 EASTERN PKWY APT 4K,3.0,0.0,BROOKLYN,2.0,GEORGE B COLEMAN,1.0,16.0,10.0,0.0,DIVERSITY OF DANCE INC,1.0,199909.0,,NY,rtf10pc,1.0,2.0,2.0,2.0,A62,A,17,X,2010,36047,5602.0,5600.0,A62,A,PC,O,AR,A,A,,AR,AR,AR,0.6032,A,0,j1,2010,66072,j1,2010,0,j1,2010,57239.0,j1,2010.0,0,j1,2010,1576,j1,2010,0,j1,2010,50910,j1,2010,5610,j1,2010,4573.0,j2,2010.0,0.0,j1,2010.0,0.0,j1,2010.0,224170,j1,2010,,,,,,,711120.0,-73.961775778,40.671181556,,u,,0,j1,2010,1,j1,2010,0,j1,2010,2254,j1,2010,207658,j1,2010,,u,,,u,,0,j1,2010,13564,j1,2010,0,j1,2010,,u,,,u,,
