,EIN,FisYr,STYEAR,CODE990,ASCD,INCCD,ACTIV1,P1TCONT,P1INTREV,P1DIVID,P1NGASTS,P1NLASTS,P1GINVPF,P1OTHINC,P1OFCOMP,P1CONTPD,P1TOTREV,P1TOTEXP,P1EXCREV,P1TEXMEX,P1NETINV,P1TEXCTX,P1NADINC,P2TOTAST,P2GVTINV,P2CRPSTK,P2CRPBND,P2TINVSC,P2TLIABL,P6EXMPF,P6DOMORG,P7POLIT,P7LIQUID,P7POFCLM,P7DISSAL,P7DISBOR,P7DISSER,P7DISPAY,P7DISTRA,P7PAYGVT,P7UNDINC,P7BUSINT,P7JEOINV,P7PROPAG,P7ELECT,P7INDGRT,P7ORGGRT,P7OTHPUR,NAME,CITY,STATE,ZIP,ntee1,nteecc,RandNum,FIPS,zipnew,ZIP5,MSA_NECH,PMSA,fipsold,fndncd,v_errorCd,RuleDate,estTAXPER,TAXPER,stateOld1,zip5Old1,cityOld1,LEVEL1,LEVEL2,LEVEL3,LEVEL4,OUTNCCS,OUTREAS,ACCPER,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FRCD,GEN,ORGCD,SEC_NAME,MAJGRPB,ntmaj12,ntmaj10,ntmaj5,SUBSECCD,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,P2TASFMV,P2CASHBV,P2MORTG
5313,133321549,1990,1990,3,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER FRIENDS NAT GALLERY LONDON,NEW YORK,NY,10021-4335,A,A50,0.242103,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,17.0,,198602.0,199012,199012,NY,10021.0,NEW YORK,PC,O,AR,A,IN,,12,0.0,0.0,165 E 72ND ST 1B,3.0,0.0,1000.0,% SLOANE & HINSHAW,1.0,13.0,10.0,0.0,1.0,C,A,AR,AR,AR,3.0,,,,,,,A1150,A,,,
5329,133327907,1990,1990,3,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,J MICHAEL BLOOM THEATRE FUNDATION,NEW YORK,NY,10003-1683,Z,Z99,0.00303748,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,198605.0,199012,199012,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,602.0,0.0,233 PARK AVE S FLOOR 10,3.0,0.0,1000.0,% J MICHAEL BLOOM LTD,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A65,A,,,
5331,133328723,1990,1989,3,6,4,602,0,29707,180875,0,0,0,6466,15000,91500,217048,137893,79155,104046,196190,3924,0,2534832,0,8425,2557985,0,125263,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MEX AM CULTURAL FND,NEW YORK,NY,10022-1010,Z,Z99,0.45613400000000004,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,198610.0,199009,199009,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,9,600.0,603.0,645 MADISON AVE,3.0,0.0,1000.0,GRANT HERRMANN SCHWARTZ & KLINGER,1.0,13.0,1.0,0.0,1.0,SCHWARTZ & KLINGER,Z,UN,UN,OT,3.0,,,,,,,A1220,A,,,
5375,133347068,1990,1990,3,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AFRICAN AMER DEV,NEW YORK,NY,10169-0510,Z,Z99,0.09699119999999999,36061.0,10169.0,10169.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10169.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A23,A,,,
5377,133347776,1990,1990,2,4,3,120,15000,34214,0,0,0,0,0,0,0,49214,8796,40418,8252,34214,684,34214,250411,0,63203,250411,0,8436,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BURLINGTON MAGAZINE FND,NEW YORK,NY,10004-2400,Z,Z99,0.0319948,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,3.0,,198609.0,199012,199012,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,250 PARK AVE,3.0,0.0,1000.0,SULLIVAN AND CROMWELL,1.0,13.0,1.0,0.0,1.0,N & CROMWELL,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
5400,133354167,1990,1990,3,4,2,602,0,21887,0,0,0,0,0,3000,0,21887,5781,16106,4681,20987,420,0,282504,0,0,282504,0,13056,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,GREENWICH COLLECTION,NEW YORK,NY,10012-5902,Z,Z99,0.350875,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,198703.0,199012,199012,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,435 W BROADWAY,3.0,0.0,1000.0,% CHADBOURNE & PARKE,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A99,A,,,
5670,133398045,1989,1989,3,5,5,602,604000,17690,61321,0,0,0,0,0,527528,683011,539032,143979,527798,682791,6828,278791,976411,959411,200000,976411,124005,35106,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ABBY & MITCH LEIGH FND,NEW YORK,NY,10021-4951,Z,Z99,0.82863,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198705.0,198912,198912,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,880 FIFTH AVENUE,3.0,0.0,1000.0,% MITCH & MRS LEIGH,1.0,13.0,1.0,0.0,1.0,LEIGH ABBY AND MITCH TRUSTEES,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
5703,133406046,1990,1990,3,1,2,0,20000,0,0,0,0,0,0,0,24250,20000,25747,-5747,25636,0,0,0,5505,0,0,5604,0,418,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FRANCIS J GREENBURGER FOUNDATION INC,NEW YORK,NY,10003-4301,Z,Z99,0.9546690000000001,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,200106.0,199012,199012,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,55 FIFTH AVE,3.0,0.0,1.0,TEI,1.0,1.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
5721,133410749,1990,1989,3,8,8,119,5295700,1765392,277902,4339,0,0,563,246043,3716067,7343896,4503996,2839900,2474600,2009136,20091,0,30073207,0,1948500,30065794,0,1137586,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,ANDY WARHOL FND VISUAL ARTS,NEW YORK,NY,10012-0000,Z,Z99,0.7505729999999999,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,198801.0,199004,199004,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,4,91.0,0.0,65 BLEEKER ST 7TH FLR,3.0,0.0,1000.0,% GOTTFRIED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
5879,133458208,1990,1989,2,8,6,0,0,947977,712,62008,0,0,0,0,525000,1010697,617403,393294,525000,972897,9729,930294,12457924,0,1067500,12556616,0,604845,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DAHESH MUS,NEW YORK,NY,10017-1024,Z,Z99,0.51742,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,3.0,,198807.0,199005,199005,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,5,0.0,0.0,601 5TH AVENUE 2ND FLOOR,3.0,0.0,5000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,,
5894,133465520,1990,1990,3,1,2,602,10000,0,0,0,0,0,0,0,0,10000,125,9875,125,0,0,0,9875,0,0,9875,210,241,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,SOUTHERN AFRICAN ADVANCED EDUC & TRAINI,NEW YORK,NY,10112-0002,Z,Z99,0.8956559999999999,36061.0,10112.0,10112.0,5602.0,5600.0,36061.0,4.0,,8810.0,199012,199012,NY,10112.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,30 ROCKEFELLER PLAZA ROOM 3500,3.0,,2000.0,,,,,,,NG PROJECT,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
5941,133483365,1990,1990,3,1,1,602,3995,0,0,0,0,0,0,0,0,3995,844,3151,844,0,0,0,3150,0,0,3150,98,98,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ANTONIA MASTROCRISTINO SIRENA CULTURAL FND,NEW YORK,NY,10028-0135,Z,Z99,0.514613,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10028.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A1220,A,,,
5948,133487704,1988,1988,3,1,1,602,7940,0,0,0,0,0,0,0,0,7940,7947,-7,7947,0,0,0,1295,0,1302,1295,0,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUSIC PROJECT,NEW YORK,NY,10021-1202,Z,Z99,0.653358,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,8907.0,198812,198812,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,226 E 79TH ST,3.0,0.0,1000.0,% ILANA VERED,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
6047,133525999,1990,1990,3,4,3,200,60000,2600,0,0,0,0,0,0,8000,62600,8884,53716,8268,2600,52,0,348286,0,0,348286,0,2722,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,RALPH C MARCOVE INTL UNDRSTDG THROUGH ARTS & CRAFTS FNDTN,NEW YORK,NY,10021-4871,Z,Z99,0.710882,36061.0,10021.0,10021.0,5602.0,5600.0,36061.0,4.0,,198304.0,199012,199012,NY,10021.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,517 E 71ST ST,3.0,0.0,1000.0,MARCOVE,1.0,13.0,1.0,0.0,1.0,CRAFTS FNDTN INC,Z,UN,UN,OT,3.0,,,,,,,A40,A,,,
6055,133527874,1991,1990,3,1,2,432,24176,83,0,0,0,0,0,0,0,24259,20316,3943,20316,83,2,83,5895,0,0,5895,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FND ETHNIC UNDERSTANDING,NEW YORK,NY,10017-2415,Z,Z99,0.202733,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,199010.0,199105,199105,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,5,0.0,0.0,17 E 45TH ST,3.0,0.0,1000.0,% C MARTIN GOLDENBERG,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
6093,133536258,1991,1990,2,1,3,120,68025,0,0,0,0,0,4557,0,1050,72582,72751,-169,72751,0,0,0,584,0,0,584,0,33,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,DANCE INK,NEW YORK,NY,10023-1487,Z,Z99,0.026398500000000002,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,199005.0,199107,199107,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,7,0.0,0.0,PO BOX 20719 COLUMBUS CIR STA,3.0,0.0,1000.0,% PATRICIA TARR,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1261,A,,,
6106,133540880,1990,1989,3,3,3,602,52494,0,0,0,0,0,0,0,0,52494,79040,-26546,79040,0,0,0,28055,0,50254,28055,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MUS AMER FINANCIAL HISTORY,NEW YORK,NY,10004-1703,Z,Z99,0.030160000000000003,36061.0,10004.0,10004.0,5602.0,5600.0,36061.0,3.0,,199201.0,199008,199008,NY,10004.0,NEW YORK,PF,O,UN,Z,IN,,8,0.0,0.0,26 BROADWAY,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A50,A,,,
6108,133541596,1990,1990,3,6,6,561,1412500,0,8040,0,0,0,0,0,15000,1420540,15150,1405390,15000,7890,79,0,1505240,1412500,0,1469302,0,7907,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,TIERNEY FAMILY FND,NEW YORK,NY,10128-0123,Z,Z99,0.910998,36061.0,10128.0,10128.0,5602.0,5600.0,36061.0,4.0,,198912.0,199012,199012,NY,10128.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,1133 FIFTH AVE,3.0,0.0,1000.0,% PAUL E TIERNEY JR,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
6183,133572353,1990,1990,3,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NAT VIDEO RESOURCES,NEW YORK,NY,10012-5802,Z,Z99,0.752269,36061.0,10012.0,10012.0,5602.0,5600.0,36061.0,4.0,,199010.0,199012,199012,NY,10012.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,73 SPRING ST STE 606,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,,
6185,133573140,1990,1990,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,510,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JACK GALEF ARTS FND,NEW YORK,NY,10016-4325,Z,Z99,0.0808566,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,4.0,,199205.0,199012,199012,NY,10016.0,NEW YORK,PF,O,UN,Z,IN,,12,914.0,119.0,185 MADISON AVE STE 1600,3.0,0.0,2000.0,% DIAMOND & GOLOMB,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A12,A,,,
6224,133609201,1991,1990,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AMER NEGRO SPIRITUAL RES FND,NEW YORK,NY,10025-5145,A,A68,0.13725,36061.0,10025.0,10025.0,5602.0,5600.0,36061.0,15.0,,199203.0,199104,199104,NY,10025.0,NEW YORK,PC,O,AR,A,IN,,4,119.0,124.0,168 W 100TH ST 5,3.0,0.0,1000.0,% FRANCOIS CLEMMONS,1.0,13.0,10.0,0.0,1.0,FRANCOIS CLEMMONS ENTERPRISES INC,A,AR,AR,AR,3.0,,,,,,,A1923,A,,,
6263,135635801,1989,1989,2,8,6,909,868797,6271,169877,177545,0,0,799421,53417,0,2021911,1492480,529431,1405185,271930,5439,948900,13366335,4064453,80333,14266237,0,675455,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,ADIRONDACK HIST ASSOC,NEW YORK,NY,10022-5802,Z,Z99,0.31516900000000003,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,15.0,,199210.0,198912,198912,NY,10022.0,NEW YORK,PC,O,UN,Z,IN,,12,0.0,0.0,477 MADISON AVE,3.0,199612.0,1000.0,% YOHALEM GILLMAN & CO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A54,A,,,
6278,136000245,1991,1990,3,1,3,119,59500,0,0,0,0,0,0,0,0,59506,59082,424,59082,0,0,0,1602,0,15000,1602,146,148,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BALLET SOC,NEW YORK,NY,10023-3101,Z,Z99,0.682243,36061.0,10023.0,10023.0,5602.0,5600.0,36061.0,4.0,,194710.0,199106,199106,NY,10023.0,NEW YORK,PF,O,UN,Z,IN,,6,59.0,927.0,5 W 73RD ST,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A63,A,,,
6296,136019220,1990,1989,3,4,4,119,174471,5014,5242,0,0,0,5015,25349,12475,189742,194671,-4929,186329,7631,153,12646,158698,0,20116,159359,0,7736,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,POETRY SOC AMERICA,NEW YORK,NY,10003-1705,Z,Z99,0.315236,36061.0,10003.0,10003.0,5602.0,5600.0,36061.0,4.0,,193705.0,199009,199009,NY,10003.0,NEW YORK,PF,O,UN,Z,IN,,9,0.0,0.0,15 GRAMERCY PARK,3.0,0.0,3000.0,,1.0,13.0,1.0,0.0,5.0,,Z,UN,UN,OT,3.0,,,,,,,A0370,A,,,
6341,136031962,1990,1990,3,5,4,602,0,0,52559,171490,0,0,0,8367,39692,224050,51423,172627,40024,215449,2155,43959,565928,0,0,851962,26018,42888,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,AL CROWLEY TRUST FBO NEIGHBORHOOD PLAYHOUSE,NEW YORK,NY,10017-2014,Z,Z99,0.690747,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,197302.0,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,270 PARK AVE 27TH FL,3.0,0.0,1000.0,% CHEMICAL BANK ADMIN SERV DEPT,1.0,13.0,1.0,0.0,2.0,T-15246,Z,UN,UN,OT,3.0,,,,,,,A61,A,,,
6430,136059836,1990,1990,3,5,4,161,15000,605,72073,13675,0,0,339,0,153500,101692,184374,-82682,172773,74752,748,0,959870,928822,0,1000208,0,50833,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,HIST RES FND,NEW YORK,NY,10036-2501,Z,Z99,0.610984,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,196204.0,199012,199012,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,12,180.0,59.0,1185 AVE OF THE AMERICAS,3.0,0.0,2000.0,% ARTHUR ANDERSON,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A1282,A,,,
6493,136066265,1990,1990,3,2,1,161,0,1387,0,0,0,0,218,0,1500,1605,1687,-82,1655,1605,32,0,17730,0,0,17730,0,875,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,COLT ARCHAEOLOGICAL INST,NEW YORK,NY,10178-0037,Z,Z99,0.0451838,36061.0,10178.0,10178.0,5602.0,5600.0,36061.0,,,,199012,199012,NY,10178.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A70,A,,,
6497,136066414,1990,1990,3,1,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,10,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,JOSEPH M MAY MEM ASSOC,NEW YORK,NY,10170-0000,Z,Z99,0.632797,36061.0,10170.0,10170.0,5602.0,5600.0,36061.0,4.0,,195508.0,199012,199012,NY,10170.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,420 LEXINGTON AVE RM 2817-20,3.0,0.0,1000.0,% JACOBS EVALL & BLUMENFELD,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
6713,136085361,1990,1989,3,4,1,602,0,0,4924,0,0,0,0,0,360000,4924,360000,-355076,360000,4924,98,4924,245097,2634,0,393121,0,19209,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,WARNER COMMUNICATIONS FND,NEW YORK,NY,10020-1401,Z,Z99,0.384465,36061.0,10020.0,10020.0,5602.0,5600.0,36061.0,4.0,,6012.0,199005,199005,NY,10020.0,NEW YORK,PF,O,UN,Z,IN,,5,0.0,0.0,1271 AVE OF THE AMERICAS 41ST FL,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A30,A,,,
6761,136086859,1990,1990,3,9,0,62,0,4769148,10472913,0,-26805788,0,1678485,201730,32252027,-9885242,34729503,-44614745,33227093,106820192,1068202,0,577279421,563811744,1108187,577279421,11121134,25545784,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,LILA WALLACE READERS DIGEST FND,NEW YORK,NY,10016-5603,Z,Z99,0.893329,36061.0,10016.0,10016.0,5602.0,5600.0,36061.0,4.0,,196004.0,199012,199012,NY,10016.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,2 PARK AVE 23RD FLR,3.0,0.0,1000.0,% CFO,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A33,A,,,
6815,136089816,1990,1989,3,4,6,602,1519604,0,0,0,0,0,2790,0,1505373,1522394,1505373,17021,1505373,25579,256,0,170731,0,0,245708,0,11115,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,VIACOM FND,NEW YORK,NY,10036-5701,Z,Z99,0.407199,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,4.0,,195508.0,199010,199010,NY,10036.0,NEW YORK,PF,O,UN,Z,IN,,10,0.0,0.0,1515 BROADWAY,3.0,0.0,1000.0,VIACOM INTERNATIONAL INC,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A68,A,,,
6832,136090423,1989,1989,3,0,3,59,1345,10382,0,0,0,0,0,2400,116219,13656,129802,-116146,126382,11976,240,10360,0,0,0,0,0,6366,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,AMER SCENIC & HISTORIC PRESERVATION SOC,NEW YORK,NY,10112-0001,Z,Z99,0.0219673,36061.0,10112.0,10112.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10112.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A82,A,,,
6924,136096069,1990,1990,3,5,4,908,19007,143,67447,76165,0,0,27807,0,34450,190569,116461,74108,71979,143755,2875,50915,904310,0,625,1059811,48345,51220,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,DAUGHTERS CINCINNATI,NEW YORK,NY,10022-1909,Z,Z99,0.849824,36061.0,10022.0,10022.0,5602.0,5600.0,36061.0,4.0,,194308.0,199012,199012,NY,10022.0,NEW YORK,PF,O,UN,Z,IN,,12,40.0,0.0,122 E 58TH ST,3.0,0.0,1200.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A80,A,,,
7272,136115059,1989,1989,3,4,3,59,100,6520,27969,0,0,0,0,0,20325,34589,22743,11846,20353,32723,524,32723,334751,223095,0,591644,0,26549,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LITERARY SOC FND,NEW YORK,NY,10028-0002,Z,Z99,0.934277,36061.0,10028.0,10028.0,5602.0,5600.0,36061.0,4.0,,194705.0,198912,198912,NY,10028.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,PO BOX 155 GRACIE STA,3.0,0.0,2000.0,HANS SCHUMACHER,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A70,A,,,
7347,136118881,1989,1989,3,2,1,561,1040,1083,0,0,0,0,0,0,2240,2123,2287,-164,2240,1036,21,0,14787,0,0,14787,0,761,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,BELGIAN SOC BENEVOLENCE,NEW YORK,NY,10024-1719,Z,Z99,0.954959,36061.0,10024.0,10024.0,5602.0,5600.0,36061.0,4.0,,194208.0,198912,198912,NY,10024.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,767 FIFTH AVE 28TH FLR,3.0,0.0,1000.0,% SOCFIN US INC,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
7386,136121046,1990,1990,3,3,1,119,3500,1135,0,0,0,0,0,0,0,4635,387,4248,387,748,15,748,49984,0,3000,49984,0,801,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NAT ARTS FND,NEW YORK,NY,10166-0005,Z,Z99,0.46843999999999997,36061.0,10166.0,10166.0,5602.0,5600.0,36061.0,4.0,,195204.0,199012,199012,NY,10166.0,NEW YORK,PF,O,UN,Z,IN,,12,59.0,561.0,200 PARK AVE KIESEL,1.0,0.0,2100.0,% WHITMAN & RANSOM,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A26,A,,,
7476,136127130,1989,1989,3,0,3,602,0,873,26165,0,0,0,0,0,29405,27038,42667,-15629,0,26938,539,27038,0,0,0,0,0,22816,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MORRIS FINKELSTEIN & SONS FOUNDA TION,NEW YORK,NY,10036-8102,Z,Z99,0.11028800000000001,36061.0,10036.0,10036.0,5602.0,5600.0,36061.0,,,,198912,198912,NY,10036.0,NEW YORK,U,O,UN,Z,IN,,12,,,,,,,,,,,,,,Z,UN,UN,OT,,,,,,,,A80,A,,,
7482,136127858,1991,1990,3,1,1,119,60,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,28,0,0,28,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,BELGIAN ART FND IN UNITED STATES,NEW YORK,NY,10019-3323,Z,Z99,0.5305880000000001,36061.0,10019.0,10019.0,5602.0,5600.0,36061.0,4.0,,196202.0,199105,199105,NY,10019.0,NEW YORK,PF,O,UN,Z,IN,,5,0.0,0.0,146 W 57TH ST APT 43 A,3.0,0.0,2000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
7538,136133259,1990,1990,3,1,1,602,1000,88,0,0,0,0,0,0,1000,1088,1026,62,1000,61,1,61,1626,0,0,1626,0,72,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,IRISH EMIGRANT SOC NEW YORK,NEW YORK,NY,10017-6904,Z,Z99,0.511698,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,194503.0,199012,199012,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,12,0.0,0.0,5 E 42ND ST,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A23,A,,,
7559,136135409,1990,1989,3,1,1,602,2000,0,0,0,0,0,0,0,2892,2000,2892,-892,2892,0,0,0,5429,0,0,5429,0,289,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,CINEMA FND,NEW YORK,NY,10017-5405,Z,Z99,0.783189,36061.0,10017.0,10017.0,5602.0,5600.0,36061.0,4.0,,6303.0,199010,199010,NY,10017.0,NEW YORK,PF,O,UN,Z,IN,,10,561.0,0.0,50 E 42ND ST RM 515,3.0,0.0,1000.0,,1.0,13.0,1.0,0.0,1.0,,Z,UN,UN,OT,3.0,,,,,,,A31,A,,,
